PERIOD,REPORTER,PARTNER,PRODUCT,FLOW,INDICATORS,Value
2018,Austria,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",IMPORT,VALUE_IN_EUROS,610578.0
2018,Austria,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",IMPORT,QUANTITY_IN_100KG,604.0
2019,Austria,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",IMPORT,VALUE_IN_EUROS,328770.0
2019,Austria,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",IMPORT,QUANTITY_IN_100KG,337.0
2018,Austria,ES,Fresh cherries (excl. sour cherries)(2012-2500),IMPORT,VALUE_IN_EUROS,623390.0
2018,Austria,ES,Fresh cherries (excl. sour cherries)(2012-2500),IMPORT,QUANTITY_IN_100KG,1444.0
2019,Austria,ES,Fresh cherries (excl. sour cherries)(2012-2500),IMPORT,VALUE_IN_EUROS,1425949.0
2019,Austria,ES,Fresh cherries (excl. sour cherries)(2012-2500),IMPORT,QUANTITY_IN_100KG,3039.0
2018,Austria,ES,Fresh durians(2002-2500),IMPORT,VALUE_IN_EUROS,3638.0
2018,Austria,ES,Fresh durians(2002-2500),IMPORT,QUANTITY_IN_100KG,3.0
2018,Austria,ES,Fresh figs(1988-2500),IMPORT,VALUE_IN_EUROS,466.0
2018,Austria,ES,Fresh figs(1988-2500),IMPORT,QUANTITY_IN_100KG,3.0
2018,Austria,ES,Fresh grapes (excl. table grapes)(2000-2500),IMPORT,VALUE_IN_EUROS,66586.0
2018,Austria,ES,Fresh grapes (excl. table grapes)(2000-2500),IMPORT,QUANTITY_IN_100KG,296.0
2019,Austria,ES,Fresh grapes (excl. table grapes)(2000-2500),IMPORT,VALUE_IN_EUROS,118022.0
2019,Austria,ES,Fresh grapes (excl. table grapes)(2000-2500),IMPORT,QUANTITY_IN_100KG,551.0
2018,Austria,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),IMPORT,VALUE_IN_EUROS,465124.0
2018,Austria,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),IMPORT,QUANTITY_IN_100KG,748.0
2019,Austria,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),IMPORT,VALUE_IN_EUROS,536445.0
2019,Austria,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),IMPORT,QUANTITY_IN_100KG,1027.0
2018,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),IMPORT,VALUE_IN_EUROS,5935273.0
2018,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),IMPORT,QUANTITY_IN_100KG,60428.0
2019,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),IMPORT,VALUE_IN_EUROS,5879467.0
2019,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),IMPORT,QUANTITY_IN_100KG,67826.0
2018,Austria,ES,Fresh navel oranges(2017-2500),IMPORT,VALUE_IN_EUROS,4182211.0
2018,Austria,ES,Fresh navel oranges(2017-2500),IMPORT,QUANTITY_IN_100KG,58735.0
2019,Austria,ES,Fresh navel oranges(2017-2500),IMPORT,VALUE_IN_EUROS,3704610.0
2019,Austria,ES,Fresh navel oranges(2017-2500),IMPORT,QUANTITY_IN_100KG,56872.0
2018,Austria,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",IMPORT,VALUE_IN_EUROS,2493453.0
2018,Austria,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",IMPORT,QUANTITY_IN_100KG,18687.0
2019,Austria,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",IMPORT,VALUE_IN_EUROS,2229117.0
2019,Austria,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",IMPORT,QUANTITY_IN_100KG,17061.0
2018,Austria,ES,Fresh or chilled asparagus(1988-2500),IMPORT,VALUE_IN_EUROS,229022.0
2018,Austria,ES,Fresh or chilled asparagus(1988-2500),IMPORT,QUANTITY_IN_100KG,413.0
2019,Austria,ES,Fresh or chilled asparagus(1988-2500),IMPORT,VALUE_IN_EUROS,138580.0
2019,Austria,ES,Fresh or chilled asparagus(1988-2500),IMPORT,QUANTITY_IN_100KG,345.0
2018,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",IMPORT,VALUE_IN_EUROS,1104361.0
2018,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",IMPORT,QUANTITY_IN_100KG,5788.0
2019,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",IMPORT,VALUE_IN_EUROS,1045478.0
2019,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",IMPORT,QUANTITY_IN_100KG,6542.0
2018,Austria,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",IMPORT,VALUE_IN_EUROS,199518.0
2018,Austria,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",IMPORT,QUANTITY_IN_100KG,438.0
2019,Austria,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",IMPORT,VALUE_IN_EUROS,335667.0
2019,Austria,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",IMPORT,QUANTITY_IN_100KG,833.0
2018,Austria,ES,Fresh or chilled cabbage lettuce(2000-2500),IMPORT,VALUE_IN_EUROS,496019.0
2018,Austria,ES,Fresh or chilled cabbage lettuce(2000-2500),IMPORT,QUANTITY_IN_100KG,4580.0
2019,Austria,ES,Fresh or chilled cabbage lettuce(2000-2500),IMPORT,VALUE_IN_EUROS,499654.0
2019,Austria,ES,Fresh or chilled cabbage lettuce(2000-2500),IMPORT,QUANTITY_IN_100KG,4561.0
2018,Austria,ES,Fresh or chilled capers(2012-2500),IMPORT,VALUE_IN_EUROS,5162.0
2018,Austria,ES,Fresh or chilled capers(2012-2500),IMPORT,QUANTITY_IN_100KG,12.0
2019,Austria,ES,Fresh or chilled capers(2012-2500),IMPORT,VALUE_IN_EUROS,5760.0
2019,Austria,ES,Fresh or chilled capers(2012-2500),IMPORT,QUANTITY_IN_100KG,13.0
2018,Austria,ES,Fresh or chilled carrots and turnips(1988-2500),IMPORT,VALUE_IN_EUROS,629213.0
2018,Austria,ES,Fresh or chilled carrots and turnips(1988-2500),IMPORT,QUANTITY_IN_100KG,4048.0
2019,Austria,ES,Fresh or chilled carrots and turnips(1988-2500),IMPORT,VALUE_IN_EUROS,335510.0
2019,Austria,ES,Fresh or chilled carrots and turnips(1988-2500),IMPORT,QUANTITY_IN_100KG,1514.0
2018,Austria,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),IMPORT,VALUE_IN_EUROS,55123.0
2018,Austria,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),IMPORT,QUANTITY_IN_100KG,641.0
2019,Austria,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),IMPORT,VALUE_IN_EUROS,138719.0
2019,Austria,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),IMPORT,QUANTITY_IN_100KG,1809.0
2018,Austria,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),IMPORT,VALUE_IN_EUROS,541473.0
2018,Austria,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),IMPORT,QUANTITY_IN_100KG,2586.0
2019,Austria,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),IMPORT,VALUE_IN_EUROS,1038704.0
2019,Austria,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),IMPORT,QUANTITY_IN_100KG,4972.0
2018,Austria,ES,Fresh or chilled chanterelles(2002-2500),IMPORT,VALUE_IN_EUROS,21845.0
2018,Austria,ES,Fresh or chilled chanterelles(2002-2500),IMPORT,QUANTITY_IN_100KG,20.0
2018,Austria,ES,Fresh or chilled chicory (excl. witloof chicory)(1988-2500),IMPORT,VALUE_IN_EUROS,756731.0
2018,Austria,ES,Fresh or chilled chicory (excl. witloof chicory)(1988-2500),IMPORT,QUANTITY_IN_100KG,9421.0
2019,Austria,ES,Fresh or chilled chicory (excl. witloof chicory)(1988-2500),IMPORT,VALUE_IN_EUROS,324988.0
2019,Austria,ES,Fresh or chilled chicory (excl. witloof chicory)(1988-2500),IMPORT,QUANTITY_IN_100KG,3060.0
2018,Austria,ES,Fresh or chilled courgettes(2012-2500),IMPORT,VALUE_IN_EUROS,2842736.0
2018,Austria,ES,Fresh or chilled courgettes(2012-2500),IMPORT,QUANTITY_IN_100KG,22212.0
2019,Austria,ES,Fresh or chilled courgettes(2012-2500),IMPORT,VALUE_IN_EUROS,5119634.0
2019,Austria,ES,Fresh or chilled courgettes(2012-2500),IMPORT,QUANTITY_IN_100KG,39117.0
2018,Austria,ES,"Fresh or chilled edible mushrooms (excl. chanterelles, flap mushrooms, mushrooms of the genus ""Agaricus"" and truffles)(2002-2500)",IMPORT,VALUE_IN_EUROS,12684.0
2018,Austria,ES,"Fresh or chilled edible mushrooms (excl. chanterelles, flap mushrooms, mushrooms of the genus ""Agaricus"" and truffles)(2002-2500)",IMPORT,QUANTITY_IN_100KG,38.0
2019,Austria,ES,"Fresh or chilled edible mushrooms (excl. chanterelles, flap mushrooms, mushrooms of the genus ""Agaricus"" and truffles)(2002-2500)",IMPORT,VALUE_IN_EUROS,8503.0
2019,Austria,ES,"Fresh or chilled edible mushrooms (excl. chanterelles, flap mushrooms, mushrooms of the genus ""Agaricus"" and truffles)(2002-2500)",IMPORT,QUANTITY_IN_100KG,35.0
2018,Austria,ES,Fresh or chilled fennel(2012-2500),IMPORT,VALUE_IN_EUROS,64369.0
2018,Austria,ES,Fresh or chilled fennel(2012-2500),IMPORT,QUANTITY_IN_100KG,508.0
2019,Austria,ES,Fresh or chilled fennel(2012-2500),IMPORT,VALUE_IN_EUROS,236217.0
2019,Austria,ES,Fresh or chilled fennel(2012-2500),IMPORT,QUANTITY_IN_100KG,1512.0
2018,Austria,ES,Fresh or chilled flap mushrooms(2002-2500),IMPORT,VALUE_IN_EUROS,563.0
2018,Austria,ES,Fresh or chilled flap mushrooms(2002-2500),IMPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,Fresh or chilled flap mushrooms(2002-2500),IMPORT,VALUE_IN_EUROS,333.0
2019,Austria,ES,Fresh or chilled flap mushrooms(2002-2500),IMPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,"Fresh or chilled fruits of genus Capsicum or Pimenta (excl. for industrial manufacture of capsicin or capsicum oleoresin dyes, for industrial manufacture of essential oils or resinoids, and sweet peppers)(1988-2500)",IMPORT,VALUE_IN_EUROS,1199810.0
2018,Austria,ES,"Fresh or chilled fruits of genus Capsicum or Pimenta (excl. for industrial manufacture of capsicin or capsicum oleoresin dyes, for industrial manufacture of essential oils or resinoids, and sweet peppers)(1988-2500)",IMPORT,QUANTITY_IN_100KG,9253.0
2019,Austria,ES,"Fresh or chilled fruits of genus Capsicum or Pimenta (excl. for industrial manufacture of capsicin or capsicum oleoresin dyes, for industrial manufacture of essential oils or resinoids, and sweet peppers)(1988-2500)",IMPORT,VALUE_IN_EUROS,1542271.0
2019,Austria,ES,"Fresh or chilled fruits of genus Capsicum or Pimenta (excl. for industrial manufacture of capsicin or capsicum oleoresin dyes, for industrial manufacture of essential oils or resinoids, and sweet peppers)(1988-2500)",IMPORT,QUANTITY_IN_100KG,12735.0
2018,Austria,ES,Fresh or chilled globe artichokes(2012-2500),IMPORT,VALUE_IN_EUROS,44.0
2018,Austria,ES,Fresh or chilled globe artichokes(2012-2500),IMPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Fresh or chilled globe artichokes(2012-2500),IMPORT,VALUE_IN_EUROS,168.0
2019,Austria,ES,Fresh or chilled globe artichokes(2012-2500),IMPORT,QUANTITY_IN_100KG,1.0
2018,Austria,ES,"Fresh or chilled leguminous vegetables, shelled or unshelled (excl. peas ""Pisum sativum"" and beans ""Vigna spp., Phaseolus spp."")(1988-2500)",IMPORT,VALUE_IN_EUROS,2432.0
2018,Austria,ES,"Fresh or chilled leguminous vegetables, shelled or unshelled (excl. peas ""Pisum sativum"" and beans ""Vigna spp., Phaseolus spp."")(1988-2500)",IMPORT,QUANTITY_IN_100KG,17.0
2019,Austria,ES,"Fresh or chilled leguminous vegetables, shelled or unshelled (excl. peas ""Pisum sativum"" and beans ""Vigna spp., Phaseolus spp."")(1988-2500)",IMPORT,VALUE_IN_EUROS,4427.0
2019,Austria,ES,"Fresh or chilled leguminous vegetables, shelled or unshelled (excl. peas ""Pisum sativum"" and beans ""Vigna spp., Phaseolus spp."")(1988-2500)",IMPORT,QUANTITY_IN_100KG,25.0
2018,Austria,ES,Fresh or chilled lettuce (excl. cabbage lettuce)(1988-2500),IMPORT,VALUE_IN_EUROS,3720810.0
2018,Austria,ES,Fresh or chilled lettuce (excl. cabbage lettuce)(1988-2500),IMPORT,QUANTITY_IN_100KG,24295.0
2019,Austria,ES,Fresh or chilled lettuce (excl. cabbage lettuce)(1988-2500),IMPORT,VALUE_IN_EUROS,6247777.0
2019,Austria,ES,Fresh or chilled lettuce (excl. cabbage lettuce)(1988-2500),IMPORT,QUANTITY_IN_100KG,39909.0
2019,Austria,ES,"Fresh or chilled mushrooms of the genus ""Agaricus""(2002-2500)",IMPORT,VALUE_IN_EUROS,19712.0
2019,Austria,ES,"Fresh or chilled mushrooms of the genus ""Agaricus""(2002-2500)",IMPORT,QUANTITY_IN_100KG,57.0
2019,Austria,ES,Fresh or chilled new potatoes from 1 January to 30 June(2000-2500),IMPORT,VALUE_IN_EUROS,278006.0
2019,Austria,ES,Fresh or chilled new potatoes from 1 January to 30 June(2000-2500),IMPORT,QUANTITY_IN_100KG,4085.0
2018,Austria,ES,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled(2000-2500)",IMPORT,VALUE_IN_EUROS,4171.0
2018,Austria,ES,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled(2000-2500)",IMPORT,QUANTITY_IN_100KG,24.0
2019,Austria,ES,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled(2000-2500)",IMPORT,VALUE_IN_EUROS,3818.0
2019,Austria,ES,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled(2000-2500)",IMPORT,QUANTITY_IN_100KG,14.0
2018,Austria,ES,"Fresh or chilled spinach, New Zealand spinach and orache spinach(1988-2500)",IMPORT,VALUE_IN_EUROS,77153.0
2018,Austria,ES,"Fresh or chilled spinach, New Zealand spinach and orache spinach(1988-2500)",IMPORT,QUANTITY_IN_100KG,430.0
2019,Austria,ES,"Fresh or chilled spinach, New Zealand spinach and orache spinach(1988-2500)",IMPORT,VALUE_IN_EUROS,49828.0
2019,Austria,ES,"Fresh or chilled spinach, New Zealand spinach and orache spinach(1988-2500)",IMPORT,QUANTITY_IN_100KG,283.0
2018,Austria,ES,Fresh or chilled sweet peppers(1988-2500),IMPORT,VALUE_IN_EUROS,14916433.0
2018,Austria,ES,Fresh or chilled sweet peppers(1988-2500),IMPORT,QUANTITY_IN_100KG,70642.0
2019,Austria,ES,Fresh or chilled sweet peppers(1988-2500),IMPORT,VALUE_IN_EUROS,15432780.0
2019,Austria,ES,Fresh or chilled sweet peppers(1988-2500),IMPORT,QUANTITY_IN_100KG,71577.0
2018,Austria,ES,Fresh or chilled sweetcorn(2012-2500),IMPORT,VALUE_IN_EUROS,1180915.0
2018,Austria,ES,Fresh or chilled sweetcorn(2012-2500),IMPORT,QUANTITY_IN_100KG,7011.0
2019,Austria,ES,Fresh or chilled sweetcorn(2012-2500),IMPORT,VALUE_IN_EUROS,994965.0
2019,Austria,ES,Fresh or chilled sweetcorn(2012-2500),IMPORT,QUANTITY_IN_100KG,7214.0
2018,Austria,ES,Fresh or chilled truffles(2007-2500),IMPORT,VALUE_IN_EUROS,44298.0
2018,Austria,ES,Fresh or chilled truffles(2007-2500),IMPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,Fresh or chilled truffles(2007-2500),IMPORT,VALUE_IN_EUROS,20421.0
2019,Austria,ES,Fresh or chilled truffles(2007-2500),IMPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Fresh or chilled witloof chicory(1988-2500),IMPORT,VALUE_IN_EUROS,792.0
2019,Austria,ES,Fresh or chilled witloof chicory(1988-2500),IMPORT,QUANTITY_IN_100KG,4.0
2018,Austria,ES,Fresh or dried avocados(2000-2500),IMPORT,VALUE_IN_EUROS,4498848.0
2018,Austria,ES,Fresh or dried avocados(2000-2500),IMPORT,QUANTITY_IN_100KG,10882.0
2019,Austria,ES,Fresh or dried avocados(2000-2500),IMPORT,VALUE_IN_EUROS,5614136.0
2019,Austria,ES,Fresh or dried avocados(2000-2500),IMPORT,QUANTITY_IN_100KG,13979.0
2018,Austria,ES,"Fresh or dried citrus fruit (excl. oranges, lemons ""Citrus limon, Citrus limonum"", limes ""Citrus aurantifolia, Citrus latifolia"", grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(2002-2500)|Fresh or dried citrus fruit (excl. oranges, lemons, grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(1988-2001)",IMPORT,VALUE_IN_EUROS,18087.0
2018,Austria,ES,"Fresh or dried citrus fruit (excl. oranges, lemons ""Citrus limon, Citrus limonum"", limes ""Citrus aurantifolia, Citrus latifolia"", grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(2002-2500)|Fresh or dried citrus fruit (excl. oranges, lemons, grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(1988-2001)",IMPORT,QUANTITY_IN_100KG,192.0
2019,Austria,ES,"Fresh or dried citrus fruit (excl. oranges, lemons ""Citrus limon, Citrus limonum"", limes ""Citrus aurantifolia, Citrus latifolia"", grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(2002-2500)|Fresh or dried citrus fruit (excl. oranges, lemons, grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(1988-2001)",IMPORT,VALUE_IN_EUROS,192995.0
2019,Austria,ES,"Fresh or dried citrus fruit (excl. oranges, lemons ""Citrus limon, Citrus limonum"", limes ""Citrus aurantifolia, Citrus latifolia"", grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(2002-2500)|Fresh or dried citrus fruit (excl. oranges, lemons, grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)(1988-2001)",IMPORT,QUANTITY_IN_100KG,1243.0
2018,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),IMPORT,VALUE_IN_EUROS,16477916.0
2018,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),IMPORT,QUANTITY_IN_100KG,131505.0
2019,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),IMPORT,VALUE_IN_EUROS,20323510.0
2019,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),IMPORT,QUANTITY_IN_100KG,163161.0
2018,Austria,ES,Fresh or dried dates(1988-2500),IMPORT,VALUE_IN_EUROS,63901.0
2018,Austria,ES,Fresh or dried dates(1988-2500),IMPORT,QUANTITY_IN_100KG,320.0
2019,Austria,ES,Fresh or dried dates(1988-2500),IMPORT,VALUE_IN_EUROS,92975.0
2019,Austria,ES,Fresh or dried dates(1988-2500),IMPORT,QUANTITY_IN_100KG,204.0
2018,Austria,ES,Fresh or dried grapefruit(2000-2500)|Fresh or dried grapefruit(1988-1994),IMPORT,VALUE_IN_EUROS,987023.0
2018,Austria,ES,Fresh or dried grapefruit(2000-2500)|Fresh or dried grapefruit(1988-1994),IMPORT,QUANTITY_IN_100KG,10572.0
2019,Austria,ES,Fresh or dried grapefruit(2000-2500)|Fresh or dried grapefruit(1988-1994),IMPORT,VALUE_IN_EUROS,841464.0
2019,Austria,ES,Fresh or dried grapefruit(2000-2500)|Fresh or dried grapefruit(1988-1994),IMPORT,QUANTITY_IN_100KG,8418.0
2018,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",IMPORT,VALUE_IN_EUROS,1825016.0
2018,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",IMPORT,QUANTITY_IN_100KG,7982.0
2019,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",IMPORT,VALUE_IN_EUROS,1888428.0
2019,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",IMPORT,QUANTITY_IN_100KG,7076.0
2018,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",IMPORT,VALUE_IN_EUROS,17722610.0
2018,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",IMPORT,QUANTITY_IN_100KG,161188.0
2019,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",IMPORT,VALUE_IN_EUROS,18197972.0
2019,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",IMPORT,QUANTITY_IN_100KG,183570.0
2018,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",IMPORT,VALUE_IN_EUROS,266123.0
2018,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",IMPORT,QUANTITY_IN_100KG,1368.0
2019,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",IMPORT,VALUE_IN_EUROS,313087.0
2019,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",IMPORT,QUANTITY_IN_100KG,1516.0
2018,Austria,ES,Fresh or dried mandarins incl. tangerines (excl. clementines and satsumas)(2017-2500),IMPORT,VALUE_IN_EUROS,2981246.0
2018,Austria,ES,Fresh or dried mandarins incl. tangerines (excl. clementines and satsumas)(2017-2500),IMPORT,QUANTITY_IN_100KG,21683.0
2019,Austria,ES,Fresh or dried mandarins incl. tangerines (excl. clementines and satsumas)(2017-2500),IMPORT,VALUE_IN_EUROS,110132.0
2019,Austria,ES,Fresh or dried mandarins incl. tangerines (excl. clementines and satsumas)(2017-2500),IMPORT,QUANTITY_IN_100KG,946.0
2018,Austria,ES,Fresh or dried pineapples(1988-2500),IMPORT,VALUE_IN_EUROS,20375.0
2018,Austria,ES,Fresh or dried pineapples(1988-2500),IMPORT,QUANTITY_IN_100KG,197.0
2019,Austria,ES,Fresh or dried pineapples(1988-2500),IMPORT,VALUE_IN_EUROS,10900.0
2019,Austria,ES,Fresh or dried pineapples(1988-2500),IMPORT,QUANTITY_IN_100KG,102.0
2018,Austria,ES,Fresh or dried satsumas(2017-2500),IMPORT,VALUE_IN_EUROS,1999980.0
2018,Austria,ES,Fresh or dried satsumas(2017-2500),IMPORT,QUANTITY_IN_100KG,23267.0
2019,Austria,ES,Fresh or dried satsumas(2017-2500),IMPORT,VALUE_IN_EUROS,1165337.0
2019,Austria,ES,Fresh or dried satsumas(2017-2500),IMPORT,QUANTITY_IN_100KG,13040.0
2018,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",IMPORT,VALUE_IN_EUROS,58591.0
2018,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",IMPORT,QUANTITY_IN_100KG,232.0
2019,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",IMPORT,VALUE_IN_EUROS,115132.0
2019,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",IMPORT,QUANTITY_IN_100KG,463.0
2018,Austria,ES,"Fresh peaches (excl. nectarines)(1998-2500)|Peaches, fresh (excl. nectarines)(1993-1994)",IMPORT,VALUE_IN_EUROS,1699949.0
2018,Austria,ES,"Fresh peaches (excl. nectarines)(1998-2500)|Peaches, fresh (excl. nectarines)(1993-1994)",IMPORT,QUANTITY_IN_100KG,9336.0
2019,Austria,ES,"Fresh peaches (excl. nectarines)(1998-2500)|Peaches, fresh (excl. nectarines)(1993-1994)",IMPORT,VALUE_IN_EUROS,1994497.0
2019,Austria,ES,"Fresh peaches (excl. nectarines)(1998-2500)|Peaches, fresh (excl. nectarines)(1993-1994)",IMPORT,QUANTITY_IN_100KG,13331.0
2018,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),IMPORT,VALUE_IN_EUROS,476932.0
2018,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),IMPORT,QUANTITY_IN_100KG,4547.0
2019,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),IMPORT,VALUE_IN_EUROS,1105305.0
2019,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),IMPORT,QUANTITY_IN_100KG,10500.0
2018,Austria,ES,Fresh persimmons(2012-2500),IMPORT,VALUE_IN_EUROS,526530.0
2018,Austria,ES,Fresh persimmons(2012-2500),IMPORT,QUANTITY_IN_100KG,2852.0
2019,Austria,ES,Fresh persimmons(2012-2500),IMPORT,VALUE_IN_EUROS,856034.0
2019,Austria,ES,Fresh persimmons(2012-2500),IMPORT,QUANTITY_IN_100KG,6406.0
2018,Austria,ES,Fresh plums(1998-2500),IMPORT,VALUE_IN_EUROS,50315.0
2018,Austria,ES,Fresh plums(1998-2500),IMPORT,QUANTITY_IN_100KG,195.0
