PERIOD,REPORTER,PARTNER,PRODUCT,FLOW,INDICATORS,Value
2019,Austria,ES,Fresh or dried pineapples(1988-2500),EXPORT,QUANTITY_IN_100KG,6.0
2018,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",EXPORT,VALUE_IN_EUROS,33.0
2018,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",EXPORT,VALUE_IN_EUROS,421.0
2019,Austria,ES,"Fresh pawpaws ""papayas""(1988-2500)",EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,"Fresh peaches (excl. nectarines)(1998-2500)|Peaches, fresh (excl. nectarines)(1993-1994)",EXPORT,VALUE_IN_EUROS,748.0
2019,Austria,ES,"Fresh peaches (excl. nectarines)(1998-2500)|Peaches, fresh (excl. nectarines)(1993-1994)",EXPORT,QUANTITY_IN_100KG,3.0
2018,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),EXPORT,VALUE_IN_EUROS,71.0
2018,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),EXPORT,VALUE_IN_EUROS,20164.0
2019,Austria,ES,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),EXPORT,QUANTITY_IN_100KG,403.0
2018,Austria,ES,Fresh persimmons(2012-2500),EXPORT,VALUE_IN_EUROS,1275.0
2018,Austria,ES,Fresh persimmons(2012-2500),EXPORT,QUANTITY_IN_100KG,6.0
2019,Austria,ES,Fresh plums(1998-2500),EXPORT,VALUE_IN_EUROS,80.0
2019,Austria,ES,Fresh plums(1998-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Fresh raspberries(1988-2500),EXPORT,VALUE_IN_EUROS,5.0
2018,Austria,ES,Fresh raspberries(1988-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Fresh raspberries(1988-2500),EXPORT,VALUE_IN_EUROS,14.0
2019,Austria,ES,Fresh raspberries(1988-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Fresh strawberries(2000-2500),EXPORT,VALUE_IN_EUROS,60.0
2018,Austria,ES,Fresh strawberries(2000-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Fresh strawberries(2000-2500),EXPORT,VALUE_IN_EUROS,211.0
2019,Austria,ES,Fresh strawberries(2000-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Fresh table grapes(1998-2500),EXPORT,VALUE_IN_EUROS,36.0
2018,Austria,ES,Fresh table grapes(1998-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Fresh watermelons(1996-2500),EXPORT,VALUE_IN_EUROS,62653.0
2018,Austria,ES,Fresh watermelons(1996-2500),EXPORT,QUANTITY_IN_100KG,1203.0
2019,Austria,ES,Fresh watermelons(1996-2500),EXPORT,VALUE_IN_EUROS,925.0
2019,Austria,ES,Fresh watermelons(1996-2500),EXPORT,QUANTITY_IN_100KG,7.0
2019,Austria,ES,Fresh white oranges(2017-2500),EXPORT,VALUE_IN_EUROS,114.0
2019,Austria,ES,Fresh white oranges(2017-2500),EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,"Garlic, fresh or chilled(1988-2500)",EXPORT,VALUE_IN_EUROS,150.0
2019,Austria,ES,"Garlic, fresh or chilled(1988-2500)",EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,"Onions, fresh or chilled (excl. sets)(1988-2500)",EXPORT,VALUE_IN_EUROS,251784.0
2018,Austria,ES,"Onions, fresh or chilled (excl. sets)(1988-2500)",EXPORT,QUANTITY_IN_100KG,4964.0
2019,Austria,ES,"Onions, fresh or chilled (excl. sets)(1988-2500)",EXPORT,VALUE_IN_EUROS,376548.0
2019,Austria,ES,"Onions, fresh or chilled (excl. sets)(1988-2500)",EXPORT,QUANTITY_IN_100KG,5746.0
2018,Austria,ES,"Potatoes, fresh or chilled (excl. new potatoes from 1 January to 30 June, seed potatoes and potatoes for manufacture of starch)(1988-2500)",EXPORT,VALUE_IN_EUROS,232.0
2018,Austria,ES,"Potatoes, fresh or chilled (excl. new potatoes from 1 January to 30 June, seed potatoes and potatoes for manufacture of starch)(1988-2500)",EXPORT,QUANTITY_IN_100KG,3.0
2019,Austria,ES,"Potatoes, fresh or chilled (excl. new potatoes from 1 January to 30 June, seed potatoes and potatoes for manufacture of starch)(1988-2500)",EXPORT,VALUE_IN_EUROS,524.0
2019,Austria,ES,"Potatoes, fresh or chilled (excl. new potatoes from 1 January to 30 June, seed potatoes and potatoes for manufacture of starch)(1988-2500)",EXPORT,QUANTITY_IN_100KG,6.0
2018,Austria,ES,Sultanas(2005-2500),EXPORT,VALUE_IN_EUROS,16.0
2018,Austria,ES,Sultanas(2005-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Sultanas(2005-2500),EXPORT,VALUE_IN_EUROS,13.0
2019,Austria,ES,Sultanas(2005-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,"Tomatoes, fresh or chilled(1998-2500)",EXPORT,VALUE_IN_EUROS,256.0
2018,Austria,ES,"Tomatoes, fresh or chilled(1998-2500)",EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,"Tomatoes, fresh or chilled(1998-2500)",EXPORT,VALUE_IN_EUROS,3580.0
2019,Austria,ES,"Tomatoes, fresh or chilled(1998-2500)",EXPORT,QUANTITY_IN_100KG,22.0
2018,Belgium,ES,"Bananas, fresh (excl. plantains)(2012-2500)",EXPORT,VALUE_IN_EUROS,28595641.0
2018,Belgium,ES,"Bananas, fresh (excl. plantains)(2012-2500)",EXPORT,QUANTITY_IN_100KG,505078.0
2019,Belgium,ES,"Bananas, fresh (excl. plantains)(2012-2500)",EXPORT,VALUE_IN_EUROS,25512282.0
2019,Belgium,ES,"Bananas, fresh (excl. plantains)(2012-2500)",EXPORT,QUANTITY_IN_100KG,378780.0
2018,Belgium,ES,"Brussels sprouts, fresh or chilled(1988-2500)",EXPORT,VALUE_IN_EUROS,355664.0
2018,Belgium,ES,"Brussels sprouts, fresh or chilled(1988-2500)",EXPORT,QUANTITY_IN_100KG,9900.0
2019,Belgium,ES,"Brussels sprouts, fresh or chilled(1988-2500)",EXPORT,VALUE_IN_EUROS,447985.0
2019,Belgium,ES,"Brussels sprouts, fresh or chilled(1988-2500)",EXPORT,QUANTITY_IN_100KG,11465.0
2018,Belgium,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,VALUE_IN_EUROS,129617.0
2018,Belgium,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,QUANTITY_IN_100KG,944.0
2019,Belgium,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,VALUE_IN_EUROS,193297.0
2019,Belgium,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,QUANTITY_IN_100KG,1856.0
2018,Belgium,ES,Dried apples(1988-2500),EXPORT,VALUE_IN_EUROS,21128.0
2018,Belgium,ES,Dried apples(1988-2500),EXPORT,QUANTITY_IN_100KG,23.0
2019,Belgium,ES,Dried apples(1988-2500),EXPORT,VALUE_IN_EUROS,183.0
2019,Belgium,ES,Dried apples(1988-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Belgium,ES,Dried apricots(1988-2500),EXPORT,VALUE_IN_EUROS,4.0
2018,Belgium,ES,Dried apricots(1988-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Belgium,ES,Dried grapes (excl. currants and sultanas)(2005-2500),EXPORT,VALUE_IN_EUROS,168.0
2018,Belgium,ES,Dried grapes (excl. currants and sultanas)(2005-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Belgium,ES,Dried pawpaws(1988-2500),EXPORT,VALUE_IN_EUROS,1632.0
2019,Belgium,ES,Dried pawpaws(1988-2500),EXPORT,QUANTITY_IN_100KG,2.0
2018,Belgium,ES,Dried prunes(1988-2500),EXPORT,VALUE_IN_EUROS,22137.0
2018,Belgium,ES,Dried prunes(1988-2500),EXPORT,QUANTITY_IN_100KG,51.0
2019,Belgium,ES,Dried prunes(1988-2500),EXPORT,VALUE_IN_EUROS,5308.0
2019,Belgium,ES,Dried prunes(1988-2500),EXPORT,QUANTITY_IN_100KG,20.0
2018,Belgium,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,VALUE_IN_EUROS,1462882.0
2018,Belgium,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,QUANTITY_IN_100KG,19332.0
2019,Belgium,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,VALUE_IN_EUROS,1868885.0
2019,Belgium,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,QUANTITY_IN_100KG,43791.0
2019,Belgium,ES,Fresh apricots(1998-2500)|Fresh apricots(1988-1994),EXPORT,VALUE_IN_EUROS,74068.0
2019,Belgium,ES,Fresh apricots(1998-2500)|Fresh apricots(1988-1994),EXPORT,QUANTITY_IN_100KG,330.0
2018,Belgium,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",EXPORT,VALUE_IN_EUROS,56102.0
2018,Belgium,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",EXPORT,QUANTITY_IN_100KG,41.0
2019,Belgium,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",EXPORT,VALUE_IN_EUROS,28472.0
2019,Belgium,ES,"Fresh blackberries, mulberries and loganberries(1988-2500)",EXPORT,QUANTITY_IN_100KG,24.0
2018,Belgium,ES,Fresh cherries (excl. sour cherries)(2012-2500),EXPORT,VALUE_IN_EUROS,6168.0
2018,Belgium,ES,Fresh cherries (excl. sour cherries)(2012-2500),EXPORT,QUANTITY_IN_100KG,10.0
2019,Belgium,ES,Fresh cherries (excl. sour cherries)(2012-2500),EXPORT,VALUE_IN_EUROS,1210249.0
2019,Belgium,ES,Fresh cherries (excl. sour cherries)(2012-2500),EXPORT,QUANTITY_IN_100KG,2955.0
2018,Belgium,ES,Fresh durians(2002-2500),EXPORT,VALUE_IN_EUROS,89.0
2018,Belgium,ES,Fresh durians(2002-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Belgium,ES,Fresh durians(2002-2500),EXPORT,VALUE_IN_EUROS,10.0
2019,Belgium,ES,Fresh durians(2002-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Belgium,ES,Fresh figs(1988-2500),EXPORT,VALUE_IN_EUROS,4663.0
2018,Belgium,ES,Fresh figs(1988-2500),EXPORT,QUANTITY_IN_100KG,5.0
2019,Belgium,ES,Fresh figs(1988-2500),EXPORT,VALUE_IN_EUROS,3745.0
2019,Belgium,ES,Fresh figs(1988-2500),EXPORT,QUANTITY_IN_100KG,3.0
2018,Belgium,ES,Fresh grapes (excl. table grapes)(2000-2500),EXPORT,VALUE_IN_EUROS,154836.0
2018,Belgium,ES,Fresh grapes (excl. table grapes)(2000-2500),EXPORT,QUANTITY_IN_100KG,744.0
2018,Belgium,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),EXPORT,VALUE_IN_EUROS,21063791.0
2018,Belgium,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),EXPORT,QUANTITY_IN_100KG,103731.0
2019,Belgium,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),EXPORT,VALUE_IN_EUROS,27186810.0
2019,Belgium,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),EXPORT,QUANTITY_IN_100KG,102678.0
2018,Belgium,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,VALUE_IN_EUROS,40595.0
2018,Belgium,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,QUANTITY_IN_100KG,271.0
2019,Belgium,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,VALUE_IN_EUROS,5566.0
2019,Belgium,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,QUANTITY_IN_100KG,78.0
2018,Belgium,ES,Fresh navel oranges(2017-2500),EXPORT,VALUE_IN_EUROS,169147.0
2018,Belgium,ES,Fresh navel oranges(2017-2500),EXPORT,QUANTITY_IN_100KG,2059.0
2019,Belgium,ES,Fresh navel oranges(2017-2500),EXPORT,VALUE_IN_EUROS,113205.0
2019,Belgium,ES,Fresh navel oranges(2017-2500),EXPORT,QUANTITY_IN_100KG,1942.0
2018,Belgium,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",EXPORT,VALUE_IN_EUROS,6439.0
2018,Belgium,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",EXPORT,QUANTITY_IN_100KG,23.0
2019,Belgium,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",EXPORT,VALUE_IN_EUROS,57062.0
2019,Belgium,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",EXPORT,QUANTITY_IN_100KG,771.0
2018,Belgium,ES,Fresh or chilled asparagus(1988-2500),EXPORT,VALUE_IN_EUROS,204252.0
2018,Belgium,ES,Fresh or chilled asparagus(1988-2500),EXPORT,QUANTITY_IN_100KG,375.0
2019,Belgium,ES,Fresh or chilled asparagus(1988-2500),EXPORT,VALUE_IN_EUROS,146763.0
2019,Belgium,ES,Fresh or chilled asparagus(1988-2500),EXPORT,QUANTITY_IN_100KG,247.0
2018,Belgium,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,VALUE_IN_EUROS,7658.0
2018,Belgium,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,QUANTITY_IN_100KG,68.0
2019,Belgium,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,VALUE_IN_EUROS,22071.0
2019,Belgium,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,QUANTITY_IN_100KG,228.0
2018,Belgium,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",EXPORT,VALUE_IN_EUROS,9700.0
2018,Belgium,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",EXPORT,QUANTITY_IN_100KG,36.0
2019,Belgium,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",EXPORT,VALUE_IN_EUROS,5106.0
2019,Belgium,ES,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled(2000-2500)",EXPORT,QUANTITY_IN_100KG,30.0
2018,Belgium,ES,Fresh or chilled cabbage lettuce(2000-2500),EXPORT,VALUE_IN_EUROS,1493906.0
2018,Belgium,ES,Fresh or chilled cabbage lettuce(2000-2500),EXPORT,QUANTITY_IN_100KG,13463.0
2019,Belgium,ES,Fresh or chilled cabbage lettuce(2000-2500),EXPORT,VALUE_IN_EUROS,1383571.0
2019,Belgium,ES,Fresh or chilled cabbage lettuce(2000-2500),EXPORT,QUANTITY_IN_100KG,13047.0
2018,Belgium,ES,Fresh or chilled carrots and turnips(1988-2500),EXPORT,VALUE_IN_EUROS,977304.0
2018,Belgium,ES,Fresh or chilled carrots and turnips(1988-2500),EXPORT,QUANTITY_IN_100KG,26241.0
2019,Belgium,ES,Fresh or chilled carrots and turnips(1988-2500),EXPORT,VALUE_IN_EUROS,214645.0
2019,Belgium,ES,Fresh or chilled carrots and turnips(1988-2500),EXPORT,QUANTITY_IN_100KG,5979.0
2018,Belgium,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),EXPORT,VALUE_IN_EUROS,43668.0
2018,Belgium,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),EXPORT,QUANTITY_IN_100KG,612.0
2019,Belgium,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),EXPORT,VALUE_IN_EUROS,80649.0
2019,Belgium,ES,Fresh or chilled cauliflowers and headed broccoli(2000-2500),EXPORT,QUANTITY_IN_100KG,829.0
2018,Belgium,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),EXPORT,VALUE_IN_EUROS,2478.0
2018,Belgium,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),EXPORT,QUANTITY_IN_100KG,1.0
2019,Belgium,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),EXPORT,VALUE_IN_EUROS,72066.0
2019,Belgium,ES,Fresh or chilled celery (excl. celeriac)(1988-2500),EXPORT,QUANTITY_IN_100KG,516.0
2018,Belgium,ES,Fresh or chilled chanterelles(2002-2500),EXPORT,VALUE_IN_EUROS,259358.0
2018,Belgium,ES,Fresh or chilled chanterelles(2002-2500),EXPORT,QUANTITY_IN_100KG,255.0
2019,Belgium,ES,Fresh or chilled chanterelles(2002-2500),EXPORT,VALUE_IN_EUROS,348694.0
2019,Belgium,ES,Fresh or chilled chanterelles(2002-2500),EXPORT,QUANTITY_IN_100KG,274.0
2019,Belgium,ES,Fresh or chilled chicory (excl. witloof chicory)(1988-2500),EXPORT,VALUE_IN_EUROS,5284.0
2019,Belgium,ES,Fresh or chilled chicory (excl. witloof chicory)(1988-2500),EXPORT,QUANTITY_IN_100KG,64.0
2018,Belgium,ES,Fresh or chilled courgettes(2012-2500),EXPORT,VALUE_IN_EUROS,31219.0
2018,Belgium,ES,Fresh or chilled courgettes(2012-2500),EXPORT,QUANTITY_IN_100KG,81.0
2019,Belgium,ES,Fresh or chilled courgettes(2012-2500),EXPORT,VALUE_IN_EUROS,62167.0
2019,Belgium,ES,Fresh or chilled courgettes(2012-2500),EXPORT,QUANTITY_IN_100KG,399.0
