Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Variación consumo 2020 respecto a 2019 (%),Variación consumo 2019 respecto a 2018 (%),Variación precio 2020 respecto a 2019 (%),Variación precio 2019 respecto a 2018 (%)
03-2020,2020,3,Baleares,JUDIAS VERDES,153.29,651.05,4.25,40.49,0.15,22.221336309998396,19.413500904503476,34.952221047613115,27.283520658540457
03-2020,2020,3,Baleares,PIMIENTOS,646.21,1439.61,2.23,69.4,0.63,54.72895316540563,-25.587527839643652,66.2578387555001,-23.134487350199734
03-2020,2020,3,Baleares,CHAMPIÑONES+O.SETAS,280.7,1079.26,3.84,56.71,0.27,24.916559120644376,105.59011893870083,50.04101152493363,52.26714648602878
03-2020,2020,3,Baleares,LECHUGA/ESC./ENDIVIA,495.58,1539.11,3.11,74.89,0.48,49.5909927857768,39.61397446162924,46.02561669829221,38.90353189246179
03-2020,2020,3,Baleares,ESPARRAGOS,29.12,143.53,4.93,8.54,0.03,-75.71309424520433,698.2689747003996,-23.385288779758728,117.05480245626232
03-2020,2020,3,Baleares,VERDURAS DE HOJA,285.61,764.41,2.68,40.99,0.28,155.1456137216366,50.09385894341647,111.15715035496257,62.73769386378962
03-2020,2020,3,Baleares,BERENJENAS,275.77,492.88,1.79,42.84,0.27,78.20355411954765,-8.847263945337817,118.66903283052352,-19.37330090141651
03-2020,2020,3,Baleares,ZANAHORIAS,406.59,422.68,1.04,62.39,0.4,20.385503641854672,-0.5008248880509041,38.97547182218716,5.184160470344116
03-2020,2020,3,Baleares,CALABACINES,488.35,909.67,1.86,60.77,0.48,69.91406005358198,-9.548387096774185,121.88696733907356,-18.21047381546134
03-2020,2020,3,Baleares,OTR.HORTALIZAS/VERD.,1610.77,3521.51,2.19,80.98,1.58,1.5041905602117265,10.426843694765713,10.62937458374698,-0.8809104921452916
03-2020,2020,3,Baleares,BROCOLI,185.93,371.37,2.0,34.24,0.18,23.796524402423604,-1.682377585755429,55.893711695071794,-5.381896175080435
03-2020,2020,3,Baleares,ALCACHOFAS,296.47,517.41,1.75,33.13,0.29,-14.650506678949787,-18.841121495327098,7.086532690357421,-24.835879406365706
03-2020,2020,3,Baleares,VERD./HORT. IV GAMA,847.28,2487.55,2.94,66.83,0.83,1.5923261390887258,53.94838852586111,6.781050661492641,30.34219596258001
03-2020,2020,3,Canarias,TOTAL PATATAS,8483.08,8853.26,1.04,87.1,3.95,61.04688028005908,2.1716613325574636,59.633249188604395,13.212785328472224
03-2020,2020,3,Canarias,PATATAS FRESCAS,6689.41,6931.22,1.04,79.46,3.12,59.46188191151827,0.27009649376507777,58.59209650220686,11.769008278200745
03-2020,2020,3,Canarias,PATATAS CONGELADAS,383.6,412.72,1.08,12.15,0.18,32.88069835111543,-7.215633336547421,39.90982745177803,-7.5585221397010445
03-2020,2020,3,Canarias,PATATAS PROCESADAS,282.02,1509.32,5.35,46.74,0.13,79.90558816024496,18.631754200090818,71.40845390328661,31.549539858969755
03-2020,2020,3,Canarias,T.HORTALIZAS FRESCAS,12563.35,24747.97,1.97,98.96,5.86,23.405051578593756,-6.607380715614579,31.012622711987888,-5.376904257642585
03-2020,2020,3,Canarias,TOMATES,2115.91,3295.34,1.56,86.17,0.99,7.168326259382679,5.160613372108512,11.362538060430333,-2.679102931358266
03-2020,2020,3,Canarias,CEBOLLAS,2113.67,2743.91,1.3,92.33,0.99,41.61943048576215,-3.3567737674346274,46.67197639487272,14.250990882052966
03-2020,2020,3,Canarias,AJOS,167.26,766.09,4.58,49.22,0.08,59.35594512195122,-14.506801335831232,81.21584861028978,-13.76320835543226
03-2020,2020,3,Canarias,COLES,348.95,442.35,1.27,25.73,0.16,39.775685960344475,22.31149870168046,48.46450746769593,19.576995625476584
03-2020,2020,3,Canarias,PEPINOS,287.79,539.33,1.87,29.91,0.13,19.454590735513875,-24.069463267042774,30.746666666666677,-11.154666264619099
03-2020,2020,3,Canarias,JUDIAS VERDES,243.26,594.66,2.44,25.81,0.11,-26.89186752419307,-8.623057065963634,-19.387810432707948,25.25979759559872
03-2020,2020,3,Canarias,PIMIENTOS,1084.59,2392.71,2.21,77.48,0.51,28.895359201378557,-27.535545431841474,43.17573915280911,-21.790995881692254
03-2020,2020,3,Canarias,CHAMPIÑONES+O.SETAS,225.27,913.22,4.05,36.4,0.11,42.648176291793334,-47.58364312267658,37.46274497998013,-31.86466057454642
03-2020,2020,3,Canarias,LECHUGA/ESC./ENDIVIA,573.57,1742.57,3.04,61.75,0.27,61.11969437343746,10.353699742707473,22.194718314797417,18.54493462014846
03-2020,2020,3,Canarias,ESPARRAGOS,4.27,39.83,9.32,1.32,0.0,-81.41053548106225,-41.68570703224169,-75.58089632763166,32.44823386114495
03-2020,2020,3,Canarias,VERDURAS DE HOJA,115.88,461.11,3.98,27.69,0.05,-23.36485682163879,41.172626272056775,4.010556470349408,27.327818944224248
03-2020,2020,3,Canarias,BERENJENAS,151.6,266.71,1.76,21.45,0.07,-2.95736781462041,7.1100445663352785,-5.280914837701543,5.74583145561064
03-2020,2020,3,Canarias,ZANAHORIAS,1160.15,1325.76,1.14,76.34,0.54,47.950009564496604,-15.741685918444098,52.985841055170255,1.417236213837657
03-2020,2020,3,Canarias,CALABACINES,1524.73,2738.38,1.8,75.07,0.71,28.158726423023907,-0.7491449069825659,90.12962847243921,-7.271989801831038
03-2020,2020,3,Canarias,OTR.HORTALIZAS/VERD.,2446.46,6485.99,2.65,86.82,1.14,15.0847449654011,-6.102608273150903,23.95443148286879,-13.259930442970191
03-2020,2020,3,Canarias,BROCOLI,76.38,210.74,2.76,12.22,0.04,37.77056277056276,-49.254004576659035,118.5646131507986,-63.861924215734035
03-2020,2020,3,Canarias,ALCACHOFAS,27.94,48.93,1.75,2.73,0.01,-30.219780219780212,7.518796992481196,-26.487379807692314,-37.065052950075646
03-2020,2020,3,Canarias,VERD./HORT. IV GAMA,1806.22,4469.68,2.47,69.38,0.84,11.337676987468335,-11.150726495024351,14.593957107513248,-5.211778629423245
03-2020,2020,3,Cantabria,TOTAL PATATAS,1746.55,1785.81,1.02,88.51,3.25,19.91911784900167,-14.791694700076638,44.362707452527424,-9.888036597536368
03-2020,2020,3,Cantabria,PATATAS FRESCAS,1290.88,1208.3,0.94,80.5,2.4,5.1727649728285225,-11.837464713868075,21.036973224213405,-5.511490553893918
03-2020,2020,3,Cantabria,PATATAS CONGELADAS,98.45,135.42,1.38,17.0,0.18,68.60763829422847,-23.901994004952435,76.62710316942739,-9.821218536814861
03-2020,2020,3,Cantabria,PATATAS PROCESADAS,71.44,442.09,6.19,42.56,0.13,109.31731614415467,-28.999375910131054,172.76036525172753,-29.905289106084844
03-2020,2020,3,Cantabria,T.HORTALIZAS FRESCAS,2299.09,4516.33,1.96,98.7,4.28,6.118539784817193,15.489136228917468,11.2330798179418,28.22525888286399
03-2020,2020,3,Cantabria,TOMATES,361.21,709.67,1.96,89.36,0.67,-11.379081920557423,28.536739198990833,-3.1378811454153372,30.352631391666378
03-2020,2020,3,Cantabria,CEBOLLAS,403.48,526.93,1.31,86.28,0.75,10.587912840893516,22.816171272764006,12.690605017215933,54.25903932435998
03-2020,2020,3,Cantabria,AJOS,41.7,200.5,4.81,57.53,0.08,30.312500000000007,17.950608182823448,21.228611161497078,23.388540734109217
03-2020,2020,3,Cantabria,COLES,55.75,71.32,1.28,16.13,0.1,65.13625592417063,80.05333333333333,117.17417783191226,50.228728270814294
03-2020,2020,3,Cantabria,PEPINOS,34.88,68.83,1.97,19.64,0.06,-57.61331875075951,80.26286966046004,-54.174434087882815,96.82872493775388
03-2020,2020,3,Cantabria,JUDIAS VERDES,59.54,175.46,2.95,24.71,0.11,27.032216769788782,2.8301886792452815,36.5022561070484,-2.317805304354443
03-2020,2020,3,Cantabria,PIMIENTOS,261.84,559.94,2.14,60.42,0.49,43.97096827404188,-12.77218225419664,43.76604703707508,-3.613145911700645
03-2020,2020,3,Cantabria,CHAMPIÑONES+O.SETAS,34.7,139.58,4.02,29.46,0.06,-42.06044414760394,35.375226039782994,-46.49237138695085,98.76562023773239
03-2020,2020,3,Cantabria,LECHUGA/ESC./ENDIVIA,165.99,470.56,2.83,73.97,0.31,-1.3666884544536118,73.04884318766067,13.892922838609733,40.06373313444979
03-2020,2020,3,Cantabria,ESPARRAGOS,10.03,44.87,4.47,8.45,0.02,-38.61689106487148,-41.58026456918126,370.8289611752361,-52.72817460317461
03-2020,2020,3,Cantabria,VERDURAS DE HOJA,26.6,79.4,2.99,17.89,0.05,-22.69689043882591,41.60493827160492,2.4119695601702626,38.29825187299322
03-2020,2020,3,Cantabria,BERENJENAS,68.96,101.5,1.47,28.02,0.13,13.908159894284761,67.65438936582665,20.775821037601133,53.35766423357666
03-2020,2020,3,Cantabria,ZANAHORIAS,252.59,192.96,0.76,63.12,0.47,66.13391212838728,-25.0849963045085,59.44471988101141,-24.362500000000004
03-2020,2020,3,Cantabria,CALABACINES,187.12,268.52,1.43,41.34,0.35,17.346042894769845,15.06710925097416,33.978644845823766,8.066429418742576
03-2020,2020,3,Cantabria,OTR.HORTALIZAS/VERD.,334.7,906.3,2.71,67.04,0.62,-8.636785499808918,6.259426847662137,9.591525792643104,31.116818873668183
03-2020,2020,3,Cantabria,BROCOLI,27.61,72.76,2.64,16.73,0.05,-38.54885377253506,-12.280359234673954,35.746268656716424,-30.362478887878392
03-2020,2020,3,Cantabria,ALCACHOFAS,60.48,98.9,1.64,18.95,0.11,6.7419696434874705,22.69380684278908,24.496475327291048,9.090909090909099
03-2020,2020,3,Cantabria,VERD./HORT. IV GAMA,258.56,728.45,2.82,75.05,0.48,67.62398703403566,-24.264741984582898,22.212901602214597,9.549890643092121
03-2020,2020,3,Castilla La Mancha,TOTAL PATATAS,6316.78,5667.01,0.9,87.83,3.16,40.38131176759495,-7.298516687268242,37.46603985950207,7.432067943783233
03-2020,2020,3,Castilla La Mancha,PATATAS FRESCAS,4596.8,3849.16,0.84,76.84,2.3,47.44628096522657,-7.785389343413729,50.70514075408167,16.185234044488908
03-2020,2020,3,Castilla La Mancha,PATATAS CONGELADAS,269.18,330.45,1.23,18.28,0.13,9.453909649087139,-6.390834348355671,6.05622953976507,0.23483995496218799
03-2020,2020,3,Castilla La Mancha,PATATAS PROCESADAS,290.16,1487.4,5.13,58.12,0.15,27.688787185354695,-6.134082366062206,18.34818586887334,-5.3707091926242265
03-2020,2020,3,Castilla La Mancha,T.HORTALIZAS FRESCAS,9099.42,16879.75,1.86,96.33,4.55,2.43115005994292,-2.671228824422658,0.6614053208212366,6.333393785438994
03-2020,2020,3,Castilla La Mancha,TOMATES,2154.64,3625.25,1.68,81.78,1.08,3.654242115188487,-6.480348401957961,2.8705282782221753,4.5773686584526265
03-2020,2020,3,Castilla La Mancha,CEBOLLAS,1031.69,1249.72,1.21,65.29,0.52,16.049313281065462,-3.117848346810228,8.39983346055096,24.325198692993734
