product,origen,Unidad,familia,price_mean,Volumen,Valor (en euros),DATE
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,2712,10305.6,9/1/2020
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,630,2394,10/1/2020
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,9,34.2,11/1/2020
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.5,280,140,5/1/2018
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.5,182,91,7/1/2018
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.55,119,65.45,9/1/2018
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.6,2305,1383,7/1/2019
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.5,2240,1120,8/1/2019
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.653846154,20260,13246.92308,10/1/2019
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.7,12,8.4,12/1/2019
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.7,1289,902.3,1/1/2020
ACELGAS,ALEMANIA,kg,HORTALIZAS HOJA,0.6,1620,972,6/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.75,408,306,1/1/2018
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.575,1420,816.5,3/1/2018
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.95,302,286.9,11/1/2018
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.838461538,4056,3400.799998,12/1/2018
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.883333333,2529,2233.949999,1/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.766666667,250,191.6666668,2/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.56,1400,784,3/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.635714286,370,235.2142858,4/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.54,340,183.6,5/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.55,346,190.3,6/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.65,40,26,7/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.666666667,1114,742.666667,8/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.591666667,500,295.8333335,9/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.61,4710,2873.1,10/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.545,2562,1396.29,11/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.709090909,2314,1640.836363,12/1/2019
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.6625,2509,1662.2125,1/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.6,277,166.2,2/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.73,1266,924.18,3/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.775,739,572.725,4/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.8,312,249.6,5/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.575,742,426.65,6/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.566666667,360,204.0000001,7/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.5,60,30,9/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.5,395,197.5,10/1/2020
ACELGAS,ALICANTE,kg,HORTALIZAS HOJA,0.516666667,304,157.0666668,11/1/2020
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.75,312,234,1/1/2018
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.75,233,174.75,2/1/2018
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.6,68,40.8,3/1/2018
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.575,547,314.525,4/1/2018
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.55,752,413.6,5/1/2018
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.766666667,744,570.4000002,12/1/2018
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.8,14,11.2,1/1/2019
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.7,150,105,2/1/2019
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.625,285,178.125,3/1/2019
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.642857143,1816,1167.428572,4/1/2019
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.55,1760,968,5/1/2019
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.45,1036,466.2,6/1/2019
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.725,388,281.3,3/1/2020
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.5,705,352.5,10/1/2020
ACELGAS,ALMERIA,kg,HORTALIZAS HOJA,0.5,865,432.5,11/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.778571429,231649,180355.293,1/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.71,223354,158581.34,2/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.54047619,235137,127085.9499,3/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.5675,212751,120736.1925,4/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.561363636,215514,120981.7226,5/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.55952381,167705,93834.94056,6/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.563636364,136581,76982.01823,7/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.575,112884,64908.3,8/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.627777778,138930,87217.1667,9/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.656818182,260073,170820.675,10/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.864285714,175374,151573.2428,11/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.816666667,132908,108541.5334,12/1/2018
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.909090909,249992,227265.4545,1/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.705,277370,195545.85,2/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.564285714,281166,158657.9571,3/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.6375,248738,158570.475,4/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.540909091,231164,125038.7091,5/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.513888889,182019,93537.54169,6/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.582608696,137090,79869.82613,7/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.561904762,98047,55093.0762,8/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.618421053,230776,142716.7369,9/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.630434783,266625,168089.674,10/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.5175,227448,117704.34,11/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.718421053,167649,120442.5711,12/1/2019
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.661904762,230982,152888.0857,1/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.62,72566,44990.92,2/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.706666667,150459,106324.3601,3/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.695,220708,153392.06,4/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.8125,184967,150285.6875,5/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.565,183394,103617.61,6/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.497391304,143738,71494.03125,7/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.482857143,113033,54578.79144,8/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.5,218307,109153.5,9/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.5,245202,122601,10/1/2020
ACELGAS,BARCELONA,kg,HORTALIZAS HOJA,0.514285714,251589,129388.6285,11/1/2020
ACELGAS,BURGOS,kg,HORTALIZAS HOJA,0.54,3040,1641.6,4/1/2018
ACELGAS,BURGOS,kg,HORTALIZAS HOJA,0.65,640,416,3/1/2020
ACELGAS,BURGOS,kg,HORTALIZAS HOJA,0.705555556,4288,3025.422224,4/1/2020
ACELGAS,CADIZ,kg,HORTALIZAS HOJA,0.771428571,1224,944.2285709,1/1/2018
ACELGAS,CADIZ,kg,HORTALIZAS HOJA,0.75,264,198,2/1/2018
ACELGAS,CADIZ,kg,HORTALIZAS HOJA,0.65,105,68.25,10/1/2018
ACELGAS,CADIZ,kg,HORTALIZAS HOJA,0.95,25000,23750,11/1/2018
ACELGAS,CADIZ,kg,HORTALIZAS HOJA,0.6,35,21,2/1/2019
ACELGAS,CATELLON,kg,HORTALIZAS HOJA,0.75,80,60,2/1/2018
ACELGAS,CATELLON,kg,HORTALIZAS HOJA,0.575,186,106.95,3/1/2018
ACELGAS,CATELLON,kg,HORTALIZAS HOJA,0.5,240,120,3/1/2019
ACELGAS,CHILE,kg,HORTALIZAS HOJA,0.5,31,15.5,9/1/2020
ACELGAS,CHINA,kg,HORTALIZAS HOJA,0.95,6,5.7,11/1/2018
ACELGAS,CHINA,kg,HORTALIZAS HOJA,0.766666667,90,69.00000003,12/1/2018
ACELGAS,CHINA,kg,HORTALIZAS HOJA,1.1,30,33,1/1/2019
ACELGAS,CORDOBA,kg,HORTALIZAS HOJA,0.5,120,60,10/1/2020
ACELGAS,ECUADOR,kg,HORTALIZAS HOJA,0.7,199,139.3,2/1/2018
ACELGAS,ECUADOR,kg,HORTALIZAS HOJA,0.55,500,275,4/1/2018
ACELGAS,ECUADOR,kg,HORTALIZAS HOJA,0.5,33835,16917.5,5/1/2018
ACELGAS,ECUADOR,kg,HORTALIZAS HOJA,0.95,55615,52834.25,11/1/2018
ACELGAS,GERONA,kg,HORTALIZAS HOJA,0.48,2,0.96,7/1/2020
ACELGAS,GERONA,kg,HORTALIZAS HOJA,0.483333333,8,3.866666664,8/1/2020
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.65,230,149.5,11/1/2018
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.7,184,128.8,2/1/2019
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.616666667,334,205.9666668,4/1/2019
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.583333333,404,235.6666665,5/1/2019
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.6,322,193.2,1/1/2020
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.8,69,55.2,4/1/2020
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.875,102,89.25,5/1/2020
ACELGAS,GRANADA,kg,HORTALIZAS HOJA,0.5,44,22,9/1/2020
ACELGAS,HUELVA,kg,HORTALIZAS HOJA,0.8,708,566.4,12/1/2019
ACELGAS,HUELVA,kg,HORTALIZAS HOJA,0.7,160,112,1/1/2020
ACELGAS,HUESCA,kg,HORTALIZAS HOJA,0.6,24,14.4,3/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.75,16,12,2/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.5375,20,10.75,3/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.55,16,8.8,4/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.6,2,1.2,7/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.6625,68,45.05,10/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.916666667,17,15.58333334,11/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.7,13,9.1,12/1/2018
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,1.05,15,15.75,1/1/2019
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.65,17,11.05,4/1/2019
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.525,42,22.05,6/1/2019
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.616666667,98,60.43333337,7/1/2019
ACELGAS,ITALIA,kg,HORTALIZAS HOJA,0.725,24,17.4,12/1/2019
ACELGAS,LA CORUÑA,kg,HORTALIZAS HOJA,0.55,1148,631.4,3/1/2018
ACELGAS,LA CORUÑA,kg,HORTALIZAS HOJA,0.575,404,232.3,4/1/2018
ACELGAS,LA CORUÑA,kg,HORTALIZAS HOJA,0.6,231,138.6,6/1/2018
ACELGAS,LERIDA,kg,HORTALIZAS HOJA,0.7,168,117.6,1/1/2018
ACELGAS,LERIDA,kg,HORTALIZAS HOJA,0.725,1300,942.5,2/1/2018
ACELGAS,LERIDA,kg,HORTALIZAS HOJA,0.466666667,1056,492.8000004,3/1/2018
ACELGAS,LERIDA,kg,HORTALIZAS HOJA,0.5,264,132,10/1/2020
ACELGAS,MADRID,kg,HORTALIZAS HOJA,0.7,455,318.5,2/1/2018
ACELGAS,MADRID,kg,HORTALIZAS HOJA,0.55,192,105.6,3/1/2018
ACELGAS,MADRID,kg,HORTALIZAS HOJA,0.6,1595,957,4/1/2018
ACELGAS,MADRID,kg,HORTALIZAS HOJA,0.55,2120,1166,6/1/2018
ACELGAS,MADRID,kg,HORTALIZAS HOJA,0.7,80,56,12/1/2018
ACELGAS,MADRID,kg,HORTALIZAS HOJA,0.48,669,321.12,7/1/2020
ACELGAS,MARRUECOS,kg,HORTALIZAS HOJA,0.8,400,320,12/1/2018
ACELGAS,MARRUECOS,kg,HORTALIZAS HOJA,1.05,560,588,1/1/2019
ACELGAS,MARRUECOS,kg,HORTALIZAS HOJA,0.633333333,880,557.333333,4/1/2019
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.779166667,553,430.8791669,1/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.708333333,1546,1095.083333,2/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.508333333,1682,855.0166661,3/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.572222222,1140,652.3333331,4/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.561764706,2064,1159.482353,5/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.566666667,752,426.1333336,6/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.65,320,208,7/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.525,1056,554.4,8/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.65,250,162.5,9/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.95,12,11.4,11/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.7,640,448,12/1/2018
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,1.06,768,814.08,1/1/2019
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.675,600,405,4/1/2019
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.45,360,162,6/1/2019
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.6,102,61.2,7/1/2019
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.65,520,338,12/1/2019
ACELGAS,MURCIA,kg,HORTALIZAS HOJA,0.6,120,72,6/1/2020
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.721428571,537,387.4071426,2/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.522222222,1397,729.5444441,3/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.556666667,338,188.1533334,4/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.592307692,737,436.530769,5/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.563888889,133,74.99722224,6/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.583333333,242,141.1666666,7/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.6,163,97.8,8/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.635,82,52.07,9/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.658823529,246,162.0705881,10/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.809090909,67,54.2090909,11/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.7,31,21.7,12/1/2018
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,1.05,8,8.4,1/1/2019
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.65,32,20.8,4/1/2019
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.525,104,54.6,6/1/2019
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.60625,166,100.6375,7/1/2019
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.733333333,63,46.19999998,12/1/2019
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.6,6,3.6,6/1/2020
ACELGAS,NAVARRA,kg,HORTALIZAS HOJA,0.6,3,1.8,7/1/2020
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.591666667,9643,5705.44167,4/1/2018
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.6,4423,2653.8,7/1/2018
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.65,8011,5207.15,9/1/2018
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.68,6722,4570.96,10/1/2018
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.69,3312,2285.28,11/1/2018
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.7,917,641.9,12/1/2018
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,1,3206,3206,1/1/2019
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.9,1714,1542.6,2/1/2019
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.65,1350,877.5,4/1/2019
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.51,10890,5553.9,6/1/2019
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.611111111,3840,2346.666666,7/1/2019
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.733333333,12786,9376.399996,12/1/2019
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.6,1070,642,6/1/2020
ACELGAS,OTRAS PROVINCIAS,kg,HORTALIZAS HOJA,0.6,296,177.6,7/1/2020
ACELGAS,OTROS AMERICA,kg,HORTALIZAS HOJA,0.75,240,180,1/1/2018
ACELGAS,OTROS AMERICA,kg,HORTALIZAS HOJA,0.6,960,576,3/1/2018
ACELGAS,OTROS AMERICA,kg,HORTALIZAS HOJA,0.55,1170,643.5,4/1/2018
ACELGAS,OTROS AMERICA,kg,HORTALIZAS HOJA,0.98,960,940.8,1/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.779411765,8077,6295.308826,1/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.566666667,884,500.9333336,4/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.558333333,5330,2975.916665,5/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.55625,7314,4068.4125,6/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.570588235,5894,3363.047057,7/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.579411765,6668,3863.517649,8/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.623333333,8904,5550.159997,9/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.66,5892,3888.72,10/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.83,2482,2060.06,11/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.841666667,1731,1456.925001,12/1/2018
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,1.06,2004,2124.24,1/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.9,384,345.6,2/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.666666667,918,612.0000003,4/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.51,1106,564.06,6/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.605555556,1420,859.8888895,7/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.636363636,18061,11493.36363,9/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.6,5757,3454.2,10/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.7,104,72.8,12/1/2019
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.7,4690,3283,1/1/2020
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.7,135,94.5,3/1/2020
ACELGAS,TARRAGONA,kg,HORTALIZAS HOJA,0.75,96,72,4/1/2020
ACELGAS,USA,kg,HORTALIZAS HOJA,0.6,9,5.4,3/1/2018
ACELGAS,USA,kg,HORTALIZAS HOJA,0.6,18,10.8,7/1/2019
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.783333333,7587,5943.149997,1/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.707142857,2326,1644.814285,2/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.52,9710,5049.2,3/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.571428571,7982,4561.142854,4/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.561764706,6811,3826.179413,5/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.563888889,4349,2452.352778,6/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.56875,4491,2554.25625,7/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.573809524,5808,3332.685715,8/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.626923077,2190,1372.961539,9/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.6575,7964,5236.33,10/1/2018
ACELGAS,VALENCIA,kg,HORTALIZAS HOJA,0.8625,7767,6699.0375,11/1/2018
