,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,JULIO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,JULIO 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
veza para forraje (5),,,2,143.6,146.8,148.6,101.2,,5,"2,139.4","1,428.9","2,034.4",142.4,almendra (13),,,,,,,,,7,339.0,332.0,354.1,106.7,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,7,8.0,12.6,12.3,98.1,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col repollo total,,,11,4.4,5.2,,,,11,153.8,178.2,,,VIÑEDO,,,,,,,,,,,,,,,
espárrago,,,7,14.7,14.5,14.5,100.1,,7,68.4,67.7,68.7,101.5,uva de mesa,,,,,,,,,7,272.8,331.5,290.3,87.6,,
lechuga total,,,5,33.7,35.4,34.7,98.2,,5,934.7,"1,008.5",990.6,98.2,uva vinificación (16),,,,,,,,,7,"6,595.2","5,092.2","5,478.3",107.6,,
sandía,,,4,20.4,21.5,22.1,102.8,,7,"1,092.4","1,210.7","1,266.7",104.6,vino + mosto (14),,,,,,,,,7,"50,355.4","37,728.3",,,,
melón,,,4,19.0,19.4,19.2,98.9,,7,664.4,641.5,617.7,96.3,uva pasa (15),,,,,,,,,11,0.9,0.8,,,,
tomate (rec. 1-i/31-v),,,5,11.3,10.9,10.6,97.2,,5,991.8,975.6,801.5,82.2,,,,,,,,,,,,,,,,
tomate (rec. 1-vi/30-ix),,,4,40.1,42.2,42.1,99.8,,6,"3,336.1","3,814.0","3,418.7",89.6,OLIVAR,,,,,,,,,,,,,,,
tomate (rec. 1-x/31xii),,,7,4.7,4.3,4.1,96.7,,12,440.6,423.4,,,aceituna de aderezo,,,,,,,,,11,601.3,470.4,,,,
tomate total,,,7,56.1,57.4,56.8,99.1,,12,"4,768.6","5,213.0",,,aceituna de almazara,,,,,,,,,3,"9,114.9","5,433.5",,,,
tomate conserva (6),,,6,34.2,33.8,33.3,98.6,,7,"2,698.7","3,205.0","2,757.4",86.0,aceite,,,,,,,,,3,"1,804.9","1,118.9",,,,
pimiento total (7),,,5,20.4,21.6,23.6,109.4,,6,"1,271.7","1,441.4","1,542.0",107.0,,,,,,,,,,,,,,,,
pimiento conserva,,,7,2.8,2.5,2.4,96.7,,7,116.8,129.4,85.3,66.0,,,,,,,,,,,,,,,,
fresa y fresón,,,6,7.0,7.3,6.7,91.8,,6,344.7,352.4,282.7,80.2,,,,,,,,,,,,,,,,
alcachofa,,,6,15.2,14.9,,,,6,195.6,206.5,,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,JULIO 2020,,,
coliflor,,,5,7.7,8.3,,,,5,187.9,196.5,,,,,,,,,,,,,,,,,,
ajo,,,6,28.4,27.6,27.4,99.3,,6,273.5,274.6,265.9,96.8,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
cebolla babosa,,,4,3.6,4.0,4.6,116.5,,7,178.4,177.9,180.4,101.4,CULTIVOS,,,,PROVIS.,PROVIS.,AVANCE,2021,,,PROVIS.,PROVIS.,AVANCE,2021,,
cebolla grano y medio grano,,,6,13.0,13.3,12.5,93.9,,7,772.4,847.4,759.9,89.7,,,,MES (1),2019,2020,2021,2020=100,,MES (1),2019,2020,2021,2020=100,,
otras cebollas,,,4,7.1,7.6,7.6,99.9,,11,322.0,344.3,,,,,,,,,,,,,,,,,,
cebolla total,,,4,23.8,24.8,24.7,99.3,,11,"1,272.9","1,369.6",,,HORTALIZAS,,,,,,,,,,,,,,,
judías verdes,,,5,7.9,7.3,7.3,99.6,,5,138.9,141.3,141.8,100.4,apio,,,7,1.9,1.9,2.0,105.7,,5,97.2,107.9,,,,
guisantes verdes (8),,,6,13.8,16.3,15.9,97.8,,6,109.3,111.6,118.4,106.1,nabo (10),,,7,5.3,5.2,5.2,99.6,,5,71.9,79.8,,,,
,,,,,,,,,,,,,,rábano (9),,,7,22.3,21.8,21.0,96.3,,6,4.0,4.0,,,,
,,,,,,,,,,,,,,puerro,,,7,2.7,2.9,2.7,93.2,,3,80.8,87.0,,,,
(1) Mes al que corresponde la última estimación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Arroz cáscara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3) Producción bruta para fibra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4) Tabaco seco no fermentado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5) Producción en verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(6) Incluido en el tomate ""de verano"" (rec. 1-vi/30-ix)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(7) Incluye el de conserva y el destinado a pimentón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(8) Con vaina,,,,,,,,,,,,,,"(14) Producción total de Vino y Mosto en miles de Hectolitros. Incluye a los pequeños productores (autoconsumo) y los mostos concentrados convertidos a mosto natural,",,,,,,,,,,,,,,,
(9) La superficie se expresa en miles de áreas,,,,,,,,,,,,,,     con coeficiente 3´5,,,,,,,,,,,,,,,
(10) Incluye los grelos pero no el nabo forrajero,,,,,,,,,,,,,,"(15) Producción de uva, no de pasa",,,,,,,,,,,,,,,
"(11) Satsumas, Clementinas e Híbridos de mandarina",,,,,,,,,,,,,,(16) En 2016 y posteriores son datos de entrada de uva en bodega. En cosechas anteriores son la producción provincial de uva,,,,,,,,,,,,,,,
"(12) Incluye el paraguayo o ""melocotón plano"" y las ""pavías"", pero no las nectarinas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(13) Los datos se dan con cáscara, no en grano. Coeficientes de conversión, según variedades: Almendra y Nuez: 3´3 - 4 , Avellana: 2 - 2´3 ",,,,,,,,,,,,,,Nota: Madrid sin actualizar información por falta de envío de datos por parte de la comunidad autónoma,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
