,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,MARZO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,MARZO 2020,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,
yeros,,,2,54.9,43.4,45.3,104.4,,8,63.1,32.4,,,satsumas,,,,,,,,,12,205.3,144.7,,,
,,,,,,,,,,,,,,clementinas,,,,,,,,,1,"1,533.6",942.6,,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,646.1,727.9,,,
patata extratemprana,,,3,3.6,3.7,3.6,97.4,,3,76.0,89.5,89.2,99.7,mandarina total (11),,,,,,,,,,"2,385.0","1,815.2",,,
patata temprana,,,3,14.4,14.8,13.7,93.0,,3,392.7,461.1,422.0,91.5,,,,,,,,,,,,,,,
patata media estación,,,3,29.9,30.5,30.8,101.0,,9,818.4,901.5,,,FRUTALES,,,,,,,,,,,,,,
patata tardía,,,12,19.6,19.5,,,,12,723.9,817.1,,,manzana sidra,,,,,,,,,11,79.3,93.6,,,
patata total,,,12,67.5,68.5,,,,12,"2,010.9","2,269.1",,,manzana de mesa,,,,,,,,,11,483.6,570.6,,,
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,664.3,,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,11,332.3,313.4,,,
remolacha azucarera (r. verano),,,3,7.6,6.5,8.4,128.1,,3,699.3,545.4,803.2,147.3,albaricoque,,,,,,,,,3,176.3,131.7,137.2,104.1,
remolacha azucarera (r. invierno),,,12,27.7,23.9,,,,3,"2,170.9","2,275.8",,,cereza y guinda,,,,,,,,,3,107.0,115.4,114.3,99.0,
remolacha total,,,,35.3,30.4,,,,,"2,870.3","2,821.3",,,melocotón (12),,,,,,,,,3,903.8,910.0,950.1,104.4,
algodón (3),,,1,65.1,66.0,,,,1,194.5,209.4,,,ciruela,,,,,,,,,3,153.0,168.5,161.6,95.9,
girasol,,,3,691.3,700.9,688.5,98.2,,11,950.3,788.2,,,plátano,,,,,,,,,2,386.2,396.7,404.9,102.1,
soja,,,11,1.5,1.5,,,,11,4.2,4.7,,,higo,,,,,,,,,10,47.8,37.7,,,
colza,,,2,78.4,69.4,71.2,102.6,,7,175.2,144.1,,,kiwi,,,,,,,,,12,23.8,25.0,,,
tabaco (4),,,10,8.5,8.7,,,,11,26.0,26.6,,,aguacate,,,,,,,,,3,89.6,95.5,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,10,547.1,572.5,,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,15.1,,,
maíz forrajero (5),,,11,107.3,109.7,,,,11,"4,055.5","4,819.2",,,castaña,,,,,,,,,12,184.8,160.8,,,
alfalfa (5),,,3,260.3,257.8,259.1,100.5,,11,"9,900.8","9,431.2",,,frambuesa,,,,,,,,,2,43.7,36.2,60.3,166.7,
veza para forraje (5),,,2,143.6,146.8,141.3,96.3,,11,"2,139.4","1,428.9",,,almendra (13),,,,,,,,,3,339.0,332.0,,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,11,8.0,12.6,,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col repollo total,,,11,4.4,5.2,,,,11,153.8,178.2,,,VIÑEDO,,,,,,,,,,,,,,
espárrago,,,7,14.7,14.5,,,,3,68.4,67.7,64.1,94.7,uva de mesa,,,,,,,,,11,272.8,331.5,,,
lechuga total,,,2,33.7,35.4,34.1,96.5,,1,934.7,"1,008.5",,,uva vinificación (16),,,,,,,,,3,"6,595.2","5,092.2",,,
sandía,,,11,20.4,21.5,,,,11,"1,092.4","1,210.7",,,vino + mosto (14),,,,,,,,,3,"50,355.4","37,728.3",,,
melón,,,11,19.0,19.4,,,,11,664.4,641.5,,,uva pasa (15),,,,,,,,,11,0.9,0.8,,,
tomate (rec. 1-i/31-v),,,2,11.3,10.9,10.6,97.9,,3,991.8,975.6,829.7,85.0,,,,,,,,,,,,,,,
tomate (rec. 1-vi/30-ix),,,9,40.1,42.2,,,,9,"3,336.1","3,814.0",,,OLIVAR,,,,,,,,,,,,,,
tomate (rec. 1-x/31xii),,,12,4.7,4.3,,,,12,440.6,423.4,,,aceituna de aderezo,,,,,,,,,11,601.3,462.0,,,
tomate total,,,12,56.1,57.4,,,,12,"4,768.6","5,213.0",,,aceituna de almazara,,,,,,,,,3,"9,114.9","5,533.6",,,
tomate conserva (6),,,3,34.2,33.8,33.5,99.0,,11,"2,698.7","3,205.0",,,aceite,,,,,,,,,3,"1,804.9","1,129.3",,,
pimiento total (7),,,11,20.4,21.6,,,,11,"1,271.7","1,441.4",,,,,,,,,,,,,,,,,
pimiento conserva,,,3,2.8,2.5,2.4,95.4,,11,116.8,129.4,,,,,,,,,,,,,,,,,
fresa y fresón,,,11,7.0,7.3,7.2,99.0,,2,344.7,352.4,312.8,88.8,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,MARZO 2020,,
alcachofa,,,1,15.2,14.3,,,,3,195.6,201.6,,,,,,,,,,,,,,,,,
coliflor,,,1,7.7,7.8,,,,1,187.9,187.8,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,
ajo,,,1,28.4,27.6,27.7,100.5,,8,273.5,274.6,,,CULTIVOS,,,,DEFIIT.,DEFIIT.,AVANCE,2019,,,DEFIIT.,DEFIIT.,AVANCE,2019,
cebolla babosa,,,3,3.6,4.0,4.6,116.5,,3,178.4,177.9,181.5,102.0,,,,MES (1),2017,2018,2019,2018=100,,MES (1),2017,2018,2019,2018=100,
cebolla grano y medio grano,,,3,13.0,13.3,,,,10,772.4,847.4,,,,,,,,,,,,,,,,,
otras cebollas,,,11,7.1,7.6,,,,11,322.0,344.3,,,,,,,,,,,,,,,,,
cebolla total,,,11,23.8,24.8,,,,11,"1,272.9","1,369.6",,,CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,
judías verdes,,,11,7.9,7.3,,,,11,138.9,141.3,,,remolacha azucarera (r. invierno),,,12,29.1,27.7,23.9,86.4,,3,"2,637.5","2,170.9","2,275.8",104.8,
guisantes verdes (8),,,3,13.8,16.3,15.4,94.3,,3,109.3,111.6,113.5,101.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,alcachofa,,,1,16.4,15.2,14.3,93.7,,3,223.2,195.6,201.6,103.1,
,,,,,,,,,,,,,,brócoli,,,2,32.9,33.5,31.7,94.5,,3,541.4,543.1,541.3,99.7,
(1) Mes al que corresponde la última estimación,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Arroz cáscara,,,,,,,,,,,,,,CÍTRICOS,,,,,,,,,,,,,,
(3) Producción bruta para fibra,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,567.3,646.1,727.9,112.7,
(4) Tabaco seco no fermentado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5) Producción en verde,,,,,,,,,,,,,,FRUTALES,,,,,,,,,,,,,,
"(6) Incluido en el tomate ""de verano"" (rec. 1-vi/30-ix)",,,,,,,,,,,,,,aguacate,,,,,,,,,3,92.9,89.6,95.5,106.6,
(7) Incluye el de conserva y el destinado a pimentón,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(8) Con vaina,,,,,,,,,,,,,,VIÑEDO,,,,,,,,,,,,,,
(9) La superficie se expresa en miles de áreas,,,,,,,,,,,,,,uva vinificación (16),,,,,,,,,3,"4,771.5","6,595.2","5,092.2",77.2,
(10) Incluye los grelos pero no el nabo forrajero,,,,,,,,,,,,,,vino + mosto (14),,,,,,,,,3,"35,467.4","50,355.4","37,728.3",74.9,
"(11) Satsumas, Clementinas e Híbridos de mandarina",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(12) Incluye el paraguayo o ""melocotón plano"" y las ""pavías"", pero no las nectarinas",,,,,,,,,,,,,,OLIVAR,,,,,,,,,,,,,,
"(13) Los datos se dan con cáscara, no en grano. Coeficientes de conversión, según variedades: Almendra y Nuez: 3´3 - 4 , Avellana: 2 - 2´3 ",,,,,,,,,,,,,,aceituna de almazara,,,,,,,,,3,"5,915.2","9,114.9","5,533.6",60.7,
"(14) Producción total de Vino y Mosto en miles de Hectolitros. Incluye a los pequeños productores (autoconsumo) y los mostos concentrados convertidos a mosto natural,",,,,,,,,,,,,,,aceite,,,,,,,,,3,"1,223.4","1,804.9","1,129.3",62.6,
     con coeficiente 3´5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(15)Producción de uva, no de pasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,
(16)En 2016 y posteriores son datos de entrada de uva en bodega.En cosechas anteriores son la producción provincial de uva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
