,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,OCTUBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,OCTUBRE 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
alfalfa (5),,,8,260.3,259.3,254.6,98.2,,8,"9,900.8","9,093.9","9,801.8",107.8,frambuesa,,,,,,,,,6,43.7,60.0,49.8,82.9,,
veza para forraje (5),,,8,143.6,151.4,150.9,99.7,,8,"2,139.4","1,413.9","2,157.0",152.6,almendra (13),,,,,,,,,10,339.0,340.4,352.2,103.4,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,10,8.0,12.4,4.3,35.0,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col repollo total,,,10,4.4,4.5,5.8,129.0,,11,153.8,164.0,,,VIÑEDO,,,,,,,,,,,,,,,
espárrago,,,7,14.7,13.4,14.5,108.5,,7,68.4,58.6,68.7,117.3,uva de mesa,,,,,,,,,10,272.8,331.5,298.0,89.9,,
lechuga total,,,8,33.7,35.2,34.7,98.7,,8,934.7,"1,004.7",995.6,99.1,uva vinificación (16),,,,,,,,,10,"6,595.2","5,092.2","5,414.3",106.3,,
sandía,,,9,20.4,21.5,22.0,102.4,,9,"1,092.4","1,200.1","1,268.3",105.7,vino + mosto (14),,,,,,,,,10,"50,355.4","37,728.3",,,,
melón,,,9,19.0,19.7,18.6,94.2,,9,664.4,660.2,623.0,94.4,uva pasa (15),,,,,,,,,10,0.9,0.8,1.0,120.0,,
tomate (rec. 1-i/31-v),,,5,11.3,10.4,10.5,101.6,,5,991.8,894.6,792.5,88.6,,,,,,,,,,,,,,,,
tomate (rec. 1-vi/30-ix),,,9,40.1,42.2,42.0,99.5,,9,"3,336.1","3,698.7","3,080.5",83.3,OLIVAR,,,,,,,,,,,,,,,
tomate (rec. 1-x/31xii),,,9,4.7,4.3,4.1,95.5,,10,440.6,407.3,365.2,89.7,aceituna de aderezo,,,,,,,,,10,601.3,470.4,625.9,133.0,,
tomate total,,,10,56.1,56.9,56.7,99.6,,10,"4,768.6","5,000.6","4,238.1",84.8,aceituna de almazara,,,,,,,,,10,"9,114.9","5,433.5","7,811.7",143.8,,
tomate conserva (6),,,6,34.2,33.8,33.3,98.6,,10,"2,698.7","3,205.0","2,483.4",77.5,aceite,,,,,,,,,10,"1,804.9","1,118.9","1,586.6",141.8,,
pimiento total (7),,,5,20.4,21.2,23.6,111.2,,6,"1,271.7","1,399.2","1,541.9",110.2,,,,,,,,,,,,,,,,
pimiento conserva,,,7,2.8,2.5,2.4,94.2,,10,116.8,129.4,117.8,91.1,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,OCTUBRE 2020,,,
fresa y fresón,,,8,7.0,7.3,6.8,94.2,,8,344.7,352.0,271.5,77.1,,,,,,,,,,,,,,,,
alcachofa,,,8,15.2,14.9,15.7,105.2,,10,195.6,206.5,208.8,101.1,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
coliflor,,,5,7.7,8.3,,,,5,187.9,196.5,,,CULTIVOS,,,,PROVIS.,PROVIS.,AVANCE,2021,,,PROVIS.,PROVIS.,AVANCE,2021,,
ajo,,,8,28.4,27.3,27.6,100.8,,8,273.5,271.4,272.8,100.5,,,,MES (1),2019,2020,2021,2020=100,,MES (1),2019,2020,2021,2020=100,,
cebolla babosa,,,8,3.6,4.5,4.6,100.4,,8,178.4,221.2,180.5,81.6,,,,,,,,,,,,,,,,
cebolla grano y medio grano,,,10,13.0,13.5,12.5,92.5,,10,772.4,856.0,745.5,87.1,CEREALES,,,,,,,,,,,,,,,
otras cebollas,,,8,7.1,7.9,7.4,93.8,,8,322.0,366.0,330.0,90.2,trigo blando,,,10,"1,651.8","1,658.2","1,673.5",100.9,,9,"5,094.6","7,120.2",,,,
cebolla total,,,8,23.8,25.9,24.4,94.3,,8,"1,272.9","1,443.2","1,256.1",87.0,trigo duro,,,10,266.6,251.3,250.4,99.7,,9,704.1,819.3,,,,
judías verdes,,,5,7.9,7.5,7.3,96.6,,5,138.9,143.3,141.8,99.0,trigo total,,,10,"1,918.4","1,909.5","1,923.7",100.7,,9,"5,798.7","7,939.5",,,,
guisantes verdes (8),,,6,13.8,16.7,15.9,95.4,,6,109.3,127.0,118.4,93.3,cebada de seis carreras,,,10,267.1,286.7,280.4,97.8,,9,612.4,996.4,,,,
,,,,,,,,,,,,,,avena,,,10,453.4,508.6,510.6,100.4,,9,808.3,"1,290.4",,,,
(1) Mes al que corresponde la última estimación,,,,,,,,,,,,,,centeno,,,10,138.1,137.1,132.9,96.9,,9,251.3,388.5,,,,
(2) Arroz cáscara,,,,,,,,,,,,,,triticale,,,10,250.8,257.6,262.0,101.7,,9,576.5,763.2,,,,
(3) Producción bruta para fibra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4) Tabaco seco no fermentado,,,,,,,,,,,,,,CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,,
(5) Producción en verde,,,,,,,,,,,,,,remolacha azucarera (r. verano),,,10,6.3,6.8,6.8,100.1,,9,480.9,599.0,,,,
"(6) Incluido en el tomate ""de verano"" (rec. 1-vi/30-ix)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(7) Incluye el de conserva y el destinado a pimentón,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,,
(8) Con vaina,,,,,,,,,,,,,,tomate (rec. 1-i/31-v),,,10,10.4,10.5,10.5,99.7,,5,894.6,783.3,,,,
(9) La superficie se expresa en miles de áreas,,,,,,,,,,,,,,cebolla babosa,,,10,4.5,4.6,4.5,98.3,,8,221.2,180.5,,,,
(10) Incluye los grelos pero no el nabo forrajero,,,,,,,,,,,,,,escarolas,,,10,2.3,2.4,2.8,120.9,,10,64.7,66.1,88.6,134.0,,
"(11) Satsumas, Clementinas e Híbridos de mandarina",,,,,,,,,,,,,,champiñón,,,9,0.3,0.4,0.4,99.8,,10,151.8,148.4,148.9,100.3,,
"(12) Incluye el paraguayo o ""melocotón plano"" y las ""pavías"", pero no las nectarinas",,,,,,,,,,,,,,otras setas,,,9,0.1,0.1,0.1,105.4,,10,18.3,16.9,17.2,101.7,,
"(13) Los datos se dan con cáscara, no en grano. Coeficientes de conversión, según variedades: Almendra y Nuez: 3´3 - 4 , Avellana: 2 - 2´3 ",,,,,,,,,,,,,,calabacín,,,10,10.9,11.1,11.1,99.5,,10,605.5,599.7,,,,
"(14) Producción total de Vino y Mosto en miles de Hectolitros. Incluye a los pequeños productores (autoconsumo) y los mostos concentrados convertidos a mosto natural,",,,,,,,,,,,,,,nabo,,,9,5.9,5.2,5.1,98.9,,10,61.4,79.8,79.7,99.9,,
     con coeficiente 3´5,,,,,,,,,,,,,,rábano,,,10,0.2,0.2,0.2,95.0,,10,3.9,4.0,3.6,88.3,,
"(15) Producción de uva, no de pasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(16) En 2016 y posteriores son datos de entrada de uva en bodega. En cosechas anteriores son la producción provincial de uva,,,,,,,,,,,,,,Nota: Madrid sin actualizar información por falta de envío de datos por parte de la comunidad autónoma,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
