RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,DICIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,DICIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,DICIEMBRE 2020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,
cebada total,,,9,"2,569.50","2,693.50","2,763.70",102.6,,9,"9,129.50","7,400.00","10,960.60",148.1,otras setas (9),,,5,9.4,5,9.3,185.6,,6,16.5,18.3,16.9,92.3,cebada total,,,12,"2,693.50","2,763.70","2,719.20",98.4,,9,"7,400.00","10,960.60",,
avena,,,9,556.5,453.4,508.6,112.2,,9,"1,486.90",808.3,"1,290.40",159.6,brócoli,,,10,33.5,31.5,32.6,103.5,,12,543.1,531.9,567.2,106.6,avena,,,12,453.4,508.6,510,100.3,,9,808.3,"1,290.40",,
centeno,,,9,136.3,138.1,137.1,99.3,,9,388.5,251.3,388.5,154.6,apio,,,5,1.9,2,1.9,93,,5,94.7,114.9,107.9,93.9,centeno,,,12,138.1,137.1,132.7,96.8,,9,251.3,388.5,,
triticale,,,9,213.1,250.8,257.6,102.7,,9,649,576.5,763.2,132.4,pepino,,,3,7.5,7.4,7.4,99.4,,6,643.6,739.2,804.2,108.8,triticale,,,12,250.8,257.6,266.8,103.6,,9,576.5,763.2,,
cereales otoño invierno,,,,"5,536.80","5,454.20","5,576.40",102.2,,,"19,639.70","14,834.80","21,342.30",143.9,pepinillo (9),,,6,0.4,0.3,0.3,100,,11,0,0,0,116.7,cereales de otoño-invierno,,,,"5,454.20","5,576.40","5,568.20",99.9,,,"14,834.80","21,342.30",,
maíz,,,7,322.4,356.8,347.6,97.4,,11,"3,842.50","4,184.50","4,124.80",98.6,berenjena,,,4,3.6,3.5,3.9,113.6,,8,238.3,245.1,282,115,,,,,,,,,,,,,,
sorgo,,,12,6,6.6,5.6,85.4,,12,25.6,25.1,24.8,98.5,calabaza,,,5,4.1,4.1,4.3,105.6,,11,121.3,129.1,151.2,117.1,TUBÉRCULOS,,,,,,,,,,,,,
arroz (2),,,11,105,103.4,102,98.7,,11,808.2,787.8,783.3,99.4,calabacín,,,5,11.1,10.9,11.1,102.6,,10,596.3,605.5,599.7,99,patata extratemprana,,,12,3.6,3.6,3.5,97,,4,84.4,88.5,,
,,,,,,,,,,,,,,zanahoria,,,5,6.6,6.7,7,104.6,,9,382.4,384.3,407.9,106.1,,,,,,,,,,,,,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.9,5.2,88.1,,5,65.7,61.4,79.8,130,CULTIVOS INDUSTRIALES,,,,,,,,,,,,,
judías secas,,,11,9.3,9.3,9.4,100.5,,11,17.1,14.6,17.6,120.3,rábano (9),,,3,23.3,21.2,21.8,102.8,,6,4.2,3.9,4,102.2,remolacha azucarera (r. verano),,,12,6.3,6.8,6.8,100.1,,9,480.9,599,,
habas secas,,,8,23.2,22.1,21.4,97,,8,34.8,23.5,34.5,147,puerro,,,11,2.8,2.9,2.9,100.4,,3,81.6,80.3,87,108.4,,,,,,,,,,,,,,
lentejas,,,8,44.1,50.3,36.6,72.8,,8,42.8,35.3,46.4,131.4,,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,
garbanzos,,,8,70.6,53.2,38.2,71.8,,8,91.5,50,45.1,90.3,CÍTRICOS,,,,,,,,,,,,,,tomate (rec. 1-i/31-v),,,12,10.4,10.5,10.5,99.6,,5,894.6,792.5,,
guisantes secos,,,8,149,145.4,119.7,82.3,,8,262.6,160.1,227.3,142,naranja dulce,,,,,,,,,11,"3,930.40","3,279.50","3,323.10",101.3,cebolla babosa,,,12,4.5,4.6,4.6,101.1,,8,221.2,180.5,,
veza,,,8,103.1,78.1,83.1,106.4,,8,135.6,62.5,122.9,196.8,limón,,,,,,,,,11,"1,148.60",931.1,"1,063.00",114.2,escarolas,,,10,2.3,2.4,2.8,119.7,,12,64.7,66.1,84.7,128.1
altramuz dulce,,,8,3,2.4,2,83.7,,8,2.8,1.7,1.9,113.9,pomelo,,,,,,,,,12,80.6,70.6,79.7,112.9,champiñón,,,11,0.3,0.4,0.4,99.8,,12,151.8,148.4,148.9,100.3
yeros,,,8,54.9,43.1,43.2,100.1,,8,63.1,31.5,63.7,202.3,satsumas,,,,,,,,,12,205.3,144.5,155.4,107.5,otras setas,,,11,0.1,0.1,0.1,105.8,,12,18.3,16.9,17.2,101.7
,,,,,,,,,,,,,,clementinas,,,,,,,,,12,"1,533.60",949.8,"1,369.70",144.2,apio,,,9,2,1.9,1.9,103.4,,12,114.9,107.9,110.7,102.6
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,12,646.1,737.7,788.3,106.9,pepino,,,12,7.4,7.4,7.9,107.6,,6,739.2,804.2,,
patata extratemprana,,,4,3.6,3.6,3.6,100.5,,4,76,84.4,88.5,104.9,mandarina total (11),,,,,,,,,,"2,385.00","1,831.90","2,313.40",126.3,berenjena,,,11,3.5,3.9,3.5,88.4,,12,245.1,282,257.9,91.5
patata temprana,,,6,14.4,13.9,14,100.9,,6,392.7,434.2,437.9,100.9,,,,,,,,,,,,,,,calabacín,,,12,10.9,11.1,10.7,96.5,,10,605.5,599.7,,
patata media estación,,,9,29.9,29.6,31.7,107.1,,9,818.4,917.1,942.6,102.8,FRUTALES,,,,,,,,,,,,,,nabo,,,9,5.9,5.2,5.1,98.4,,12,61.4,79.8,79.1,99.1
patata tardía,,,12,19.6,19.6,17.8,90.9,,12,723.9,823.6,670.9,81.5,manzana sidra,,,,,,,,,11,79.3,82.4,90.5,109.8,rábano,,,10,0.2,0.2,0.2,95,,12,3.9,4,3.4,85.3
patata total,,,12,67.5,66.7,67.1,100.7,,12,"2,010.90","2,259.30","2,139.90",94.7,manzana de mesa,,,,,,,,,11,483.6,556.4,503.4,90.5,puerro,,,11,2.9,2.9,2.6,90.9,,12,80.3,87,74.3,85.4
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563,638.8,593.9,93,,,,,,,,,,,,,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,11,332.3,330.7,318.6,96.3,,,,,,,,,,,,,,
remolacha azucarera (r. verano),,,9,7.6,6.3,6.8,107.7,,9,699.3,480.9,599,124.6,albaricoque,,,,,,,,,11,176.3,145.8,130.9,89.8,,,,,,,,,,,,,,
remolacha azucarera (r. invierno),,,12,27.7,23.9,19.8,82.7,,12,"2,170.90","2,271.80","1,883.40",82.9,cereza y guinda,,,,,,,,,11,107,118.8,102.3,86.2,,,,,,,,,,,,,,
remolacha total,,,,35.3,30.2,26.5,87.9,,21,"2,870.30","2,752.70","2,482.40",90.2,melocotón (12),,,,,,,,,9,903.8,937.2,793.4,84.7,,,,,,,,,,,,,,
algodón (3),,,7,65.1,66.1,61.6,93.2,,12,194.5,210,187.9,89.5,ciruela,,,,,,,,,11,153,179.8,158.6,88.2,,,,,,,,,,,,,,
girasol,,,11,691.3,701.8,651.2,92.8,,11,950.3,773.8,878.2,113.5,plátano,,,,,,,,,11,386.2,398.7,417.2,104.6,,,,,,,,,,,,,,
soja,,,11,1.5,1.6,1.4,89.5,,11,4.2,5.1,4.2,83.1,higo,,,,,,,,,10,47.8,51.6,51.3,99.4,,,,,,,,,,,,,,
colza,,,7,78.4,70.3,71.8,102.2,,7,175.2,144,201.1,139.7,kiwi,,,,,,,,,12,23.8,24.5,27.4,112,,,,,,,,,,,,,,
tabaco (4),,,10,8.5,8.7,8.1,93.9,,11,26,27.8,26.5,95.3,aguacate,,,,,,,,,11,89.6,97.7,111.9,114.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,10,547.1,605.1,472.6,78.1,,,,,,,,,,,,,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,17.5,14.3,81.5,,,,,,,,,,,,,,
maíz forrajero (5),,,11,107.3,116.5,108.7,93.3,,11,"4,055.50","4,120.40","4,011.00",97.3,castaña,,,,,,,,,12,184.8,188.9,120.3,63.7,,,,,,,,,,,,,,
alfalfa (5),,,11,260.3,259.3,254.6,98.2,,11,"9,900.80","9,093.90","9,779.40",107.5,frambuesa,,,,,,,,,6,43.7,60,49.8,82.9,,,,,,,,,,,,,,
veza para forraje (5),,,11,143.6,151.4,150.6,99.5,,11,"2,139.40","1,413.90","2,257.40",159.7,almendra (13),,,,,,,,,11,339,340.4,353.7,103.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,11,8,12.4,5.2,42.3,,,,,,,,,,,,,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col repollo total,,,11,4.4,4.5,5.9,132.4,,11,153.8,164,202.7,123.6,VIÑEDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
espárrago,,,7,14.7,13.4,14.5,108.5,,7,68.4,58.6,68.7,117.3,uva de mesa,,,,,,,,,11,272.8,331.5,297.8,89.8,,,,,,,,,,,,,,
lechuga total,,,11,33.7,35.2,34.4,97.7,,11,934.7,"1,004.70",993.4,98.9,uva vinificación (16),,,,,,,,,11,"6,595.20","5,092.20","6,489.70",127.4,,,,,,,,,,,,,,
sandía,,,11,20.4,21.5,21.9,102,,11,"1,092.40","1,200.10","1,244.20",103.7,vino + mosto (14),,,,,,,,,11,"50,355.40","37,728.30","46,557.00",123.4,,,,,,,,,,,,,,
melón,,,11,19,19.7,18.5,94,,11,664.4,660.2,613.5,92.9,uva pasa (15),,,,,,,,,11,0.9,0.8,1,120,,,,,,,,,,,,,,
tomate (rec. 1-i/31-v),,,5,11.3,10.4,10.5,101.5,,5,991.8,894.6,792.5,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomate (rec. 1-vi/30-ix),,,9,40.1,42.2,41.9,99.3,,9,"3,336.10","3,698.70","3,078.10",83.2,OLIVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomate (rec. 1-x/31xii),,,12,4.7,4.3,4.2,96.4,,12,440.6,407.3,367.9,90.3,aceituna de aderezo,,,,,,,,,11,601.3,470.4,627.7,133.4,,,,,,,,,,,,,,
tomate total,,,12,56.1,56.9,56.6,99.5,,12,"4,768.60","5,000.60","4,238.40",84.8,aceituna de almazara,,,,,,,,,12,"9,114.90","5,433.50","7,792.90",143.4,,,,,,,,,,,,,,
tomate conserva (6),,,6,34.2,33.8,33.3,98.6,,11,"2,698.70","3,205.00","2,485.40",77.5,aceite,,,,,,,,,12,"1,804.90","1,118.90","1,547.00",138.3,,,,,,,,,,,,,,
pimiento total (7),,,11,20.4,21.2,23.6,111.1,,11,"1,271.70","1,399.20","1,563.60",111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pimiento conserva,,,7,2.8,2.5,2.4,94.2,,11,116.8,129.4,83.2,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresa y fresón,,,8,7,7.3,6.8,94.2,,8,344.7,352,271.5,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcachofa,,,8,15.2,14.9,15.7,105.2,,12,195.6,206.5,206.5,100,(7) Incluye el de conserva y el destinado a pimentón,,,,,,,,,,,,,,,,,,,,,,,,,,,
coliflor,,,11,7.7,8.3,7.9,95.6,,11,187.9,196.5,191.3,97.4,(8) Con vaina,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajo,,,8,28.4,27.3,27.6,100.8,,8,273.5,271.4,272.8,100.5,(9) La superficie se expresa en miles de áreas,,,,,,,,,,,,,,,,,,,,,,,,,,,
cebolla babosa,,,8,3.6,4.5,4.6,100.4,,8,178.4,221.2,180.5,81.6,(10) Incluye los grelos pero no el nabo forrajero,,,,,,,,,,,,,,,,,,,,,,,,,,,
cebolla grano y medio grano,,,10,13,13.5,12.5,92.5,,10,772.4,856,738.8,86.3,"(11) Satsumas, Clementinas e Híbridos de mandarina",,,,,,,,,,,,,,,,,,,,,,,,,,,
otras cebollas,,,11,7.1,7.9,7.4,93.7,,11,322,366,340,92.9,"(12) Incluye el paraguayo o ""melocotón plano"" y las ""pavías"", pero no las nectarinas",,,,,,,,,,,,,,,,,,,,,,,,,,,
cebolla total,,,11,23.8,25.9,24.4,94.3,,11,"1,272.90","1,443.20","1,259.30",87.3,"(13) Los datos se dan con cáscara, no en grano. Coeficientes de conversión, según variedades: Almendra y Nuez: 3´3 - 4 , Avellana: 2 - 2´3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
judías verdes,,,11,7.9,7.5,7.9,105,,11,138.9,143.3,157.1,109.7,"(14) Producción total de Vino y Mosto en miles de Hectolitros. Incluye a los pequeños productores (autoconsumo) y los mostos concentrados convertidos a mosto natural,",,,,,,,,,,,,,,,,,,,,,,,,,,,
guisantes verdes (8),,,6,13.8,16.7,15.9,95.4,,6,109.3,127,118.4,93.3,     con coeficiente 3´5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(15) Producción de uva, no de pasa",,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) Mes al que corresponde la última estimación,,,,,,,,,,,,,,(16) Datos de entrada de uva en bodega. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Arroz cáscara,,,,,,,,,,,,,,Nota: Madrid sin actualizar información por falta de envío de datos por parte de la comunidad autónoma,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3) Producción bruta para fibra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4) Tabaco seco no fermentado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5) Producción en verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(6) Incluido en el tomate ""de verano"" (rec. 1-vi/30-ix)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
