Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
2019-10,2019,10,Total Nacional,T.FRUTAS FRESCAS,339519.41,590769.47,1.74,94.81,7.36,12.81
2019-11,2019,11,Total Nacional,T.HORTALIZAS FRESCAS,212398.33,410739.34,1.93,96.28,4.6,8.91
2019-11,2019,11,Total Nacional,T.FRUTAS FRESCAS,317857.24,537796.36,1.69,95.41,6.89,11.66
2020-03,2020,3,Total Nacional,T.HORTALIZAS FRESCAS,257552.9,498665.95,1.94,97.66,5.81,11.25
2020-03,2020,3,Total Nacional,T.FRUTAS FRESCAS,369006.74,621017.29,1.68,97.14,8.33,14.02
2020-04,2020,4,Total Nacional,T.HORTALIZAS FRESCAS,303814.22,618817.73,2.04,98.26,6.86,13.97
2020-04,2020,4,Total Nacional,T.FRUTAS FRESCAS,434581.01,766815.93,1.76,97.92,9.81,17.31
2020-05,2020,5,Total Nacional,T.HORTALIZAS FRESCAS,288906.8,565957.25,1.96,98.05,6.52,12.77
2020-05,2020,5,Total Nacional,T.FRUTAS FRESCAS,436369.54,824313.75,1.89,97.71,9.85,18.6
2020-06,2020,6,Total Nacional,T.HORTALIZAS FRESCAS,247215.64,471135.44,1.91,97.59,5.58,10.63
2020-06,2020,6,Total Nacional,T.FRUTAS FRESCAS,428048.37,773987.98,1.81,96.41,9.66,17.47
2020-07,2020,7,Total Nacional,T.HORTALIZAS FRESCAS,242399.04,448389.61,1.85,0.0,5.46,10.11
2020-07,2020,7,Total Nacional,T.FRUTAS FRESCAS,451789.94,702647.2,1.56,0.0,10.18,15.85
2020-08,2020,8,Total Nacional,T.HORTALIZAS FRESCAS,217270.54,409019.27,1.88,0.0,4.9,9.23
2020-08,2020,8,Total Nacional,T.FRUTAS FRESCAS,401113.71,594976.88,1.48,0.0,9.04,13.42
2020-09,2020,9,Total Nacional,T.HORTALIZAS FRESCAS,244130.14,477824.67,1.96,0.0,5.5,10.78
2020-09,2020,9,Total Nacional,T.FRUTAS FRESCAS,385879.27,652149.54,1.69,0.0,8.7,14.71
2020-10,2020,10,Total Nacional,T.HORTALIZAS FRESCAS,251090.91,496897.93,1.98,0.0,5.66,11.21
2020-10,2020,10,Total Nacional,T.FRUTAS FRESCAS,379017.2,712633.15,1.88,0.0,8.54,16.08
2020-11,2020,11,Total Nacional,T.HORTALIZAS FRESCAS,238554.47,472592.86,1.98,0.0,5.38,10.66
2020-11,2020,11,Total Nacional,T.FRUTAS FRESCAS,341351.65,597092.66,1.75,0.0,7.7,13.47
