FECHA,PRODUCTO,SECTOR,PRECIO MEDIO,PROCEDENCIA
2018-02,ESCAROLA,HORTALIZAS HOJA,0.56,MercaBarna
2018-02,ESPARRAGO BLANCO,HORTALIZAS TALLOS,4.00,MercaBarna
2018-02,ESPARRAGO VERDE,HORTALIZAS TALLOS,1.77,MercaBarna
2018-02,ESPINACAS,HORTALIZAS HOJA,0.62,MercaBarna
2018-02,FRUTAS CAQUIS,FRUTAS OTRAS,1.19,MercaBarna
2018-02,FRUTAS FRAMBUESA,FRUTAS OTRAS,8.00,MercaBarna
2018-02,FRUTAS FRESA,FRUTAS OTRAS,5.60,MercaBarna
2018-02,FRUTAS FRESON,FRUTAS OTRAS,2.49,MercaBarna
2018-02,FRUTAS FRUTAS SIN DETERMINAR,FRUTAS OTRAS,0.90,MercaBarna
2018-02,FRUTAS GRANADAS,FRUTAS OTRAS,2.01,MercaBarna
2018-02,FRUTAS GROSELLA,FRUTAS OTRAS,10.00,MercaBarna
2018-02,FRUTAS HIGOS,FRUTAS OTRAS,2.06,MercaBarna
2018-02,FRUTAS KIWIS,FRUTAS OTRAS,2.15,MercaBarna
2018-02,FRUTAS MELON AMARILLO,FRUTAS OTRAS,1.05,MercaBarna
2018-02,FRUTAS MELON GALIA,FRUTAS OTRAS,0.95,MercaBarna
2018-02,FRUTAS MELON SIN DETERMINAR,FRUTAS OTRAS,1.00,MercaBarna
2018-02,FRUTAS MELON VERDE PIEL DE SAPO,FRUTAS OTRAS,1.14,MercaBarna
2018-02,FRUTAS MORA,FRUTAS OTRAS,7.50,MercaBarna
2018-02,FRUTAS PIÑA TROPICAL,FRUTAS OTRAS,1.00,MercaBarna
2018-02,FRUTAS PLATANOS CANARIOS,FRUTAS OTRAS,0.90,MercaBarna
2018-02,FRUTAS PLATANOS IMPORTACION,FRUTAS OTRAS,0.99,MercaBarna
2018-02,FRUTAS SANDIA CON GRANA,FRUTAS OTRAS,1.18,MercaBarna
2018-02,FRUTAS SANDIA SIN GRANA,FRUTAS OTRAS,1.08,MercaBarna
2018-02,FRUTAS UVA BLANCA,FRUTAS OTRAS,1.82,MercaBarna
2018-02,FRUTAS UVA NEGRA,FRUTAS OTRAS,1.93,MercaBarna
2018-02,GIRGOLAS,OTROS SETAS,1.90,MercaBarna
2018-02,GUISANTE,HORTALIZAS VAINA,2.35,MercaBarna
2018-02,HABAS,HORTALIZAS VAINA,1.14,MercaBarna
2018-02,HINOJO,HORTALIZAS HOJA,0.70,MercaBarna
2018-02,JUDIA BOBI,HORTALIZAS VAINA,2.07,MercaBarna
2018-02,JUDIA FINA,HORTALIZAS VAINA,3.25,MercaBarna
2018-02,JUDIA PERONA,HORTALIZAS VAINA,2.80,MercaBarna
2018-02,JUDIAS SIN DETERMINAR,HORTALIZAS VAINA,3.12,MercaBarna
2018-02,LECHUGA ICEBERG,HORTALIZAS HOJA,0.27,MercaBarna
2018-02,LECHUGA LARGA,HORTALIZAS HOJA,0.50,MercaBarna
2018-02,LECHUGA SIN DETERMINAR,HORTALIZAS HOJA,0.60,MercaBarna
2018-02,LICHIS,FRUTAS EXOTICAS,2.40,MercaBarna
2018-02,LIMA,FRUTAS CITRICOS,1.77,MercaBarna
2018-02,LIMON,FRUTAS CITRICOS,0.96,MercaBarna
2018-02,MAIZ,OTROS OTROS,2.00,MercaBarna
2018-02,MANDARINA CLEMENTINA,FRUTAS CITRICOS,0.69,MercaBarna
2018-02,MANDARINA SATSUMA,FRUTAS CITRICOS,0.80,MercaBarna
2018-02,MANDARINAS SIN DETER.,FRUTAS CITRICOS,1.30,MercaBarna
2018-02,MANGOS,FRUTAS EXOTICAS,2.66,MercaBarna
2018-02,MANZANA AMARILLA GOLDEN,FRUTAS SEMILLA,0.82,MercaBarna
2018-02,MANZANA BICOLOR,FRUTAS SEMILLA,0.96,MercaBarna
2018-02,MANZANA ROJA,FRUTAS SEMILLA,1.21,MercaBarna
2018-02,MANZANA VERDE GRANNY SMITH,FRUTAS SEMILLA,1.13,MercaBarna
2018-02,MANZANAS SIN DETERMINAR,FRUTAS SEMILLA,0.81,MercaBarna
2018-02,MARACUYA,FRUTAS EXOTICAS,5.50,MercaBarna
2018-02,MELOCOTON AMARILLO,FRUTAS HUESO,1.45,MercaBarna
2018-02,MELOCOTON ROJO P.BLANCA,FRUTAS HUESO,2.02,MercaBarna
2018-02,MELOCOTONES ROJOS P.AMARILLA,FRUTAS HUESO,2.00,MercaBarna
2018-02,MEMBRILLO,FRUTAS SEMILLA,0.70,MercaBarna
2018-02,NABO,HORTALIZAS RAIZ,0.71,MercaBarna
2018-02,NARANJA,FRUTAS CITRICOS,0.79,MercaBarna
2018-02,NECTARINA PULPA AMARILLA,FRUTAS HUESO,1.91,MercaBarna
2018-02,NECTARINA PULPA BLANCA,FRUTAS HUESO,1.85,MercaBarna
2018-02,NISPERO,FRUTAS SEMILLA,1.55,MercaBarna
2018-02,NÃSCALOS,OTROS SETAS,14.00,MercaBarna
2018-02,PAPAYAS,FRUTAS EXOTICAS,3.00,MercaBarna
2018-02,PATATA BLANCA CALIDAD MONA LISA,HORTALIZAS TUBERCULO,0.25,MercaBarna
2018-02,PATATA ROJA,HORTALIZAS TUBERCULO,0.26,MercaBarna
2018-02,PEPINO,HORTALIZAS FRUTO,1.20,MercaBarna
2018-02,PERA BLANQUILLA,FRUTAS SEMILLA,1.23,MercaBarna
2018-02,PERA DE INVIERNO,FRUTAS SEMILLA,1.15,MercaBarna
2018-02,PERA DE VERANO,FRUTAS SEMILLA,0.85,MercaBarna
2018-02,PERA TEMPRANA,FRUTAS SEMILLA,1.00,MercaBarna
2018-02,PEREJIL,HORTALIZAS HOJA,0.50,MercaBarna
2018-02,PIMIENTO LAMUYO,HORTALIZAS FRUTO,1.32,MercaBarna
2018-02,PIMIENTO ROJO,HORTALIZAS FRUTO,1.47,MercaBarna
2018-02,PIMIENTO VERDE ITALIANO,HORTALIZAS FRUTO,1.50,MercaBarna
2018-02,PITAHAYA,FRUTAS EXOTICAS,2.70,MercaBarna
2018-02,POMELO,FRUTAS CITRICOS,1.00,MercaBarna
2018-02,PUERROS,HORTALIZAS BULBOS,0.67,MercaBarna
2018-02,RABANOS,HORTALIZAS RAIZ,0.39,MercaBarna
2018-02,RAMBUTAN,FRUTAS EXOTICAS,7.00,MercaBarna
2018-02,REMOLACHA,HORTALIZAS RAIZ,0.70,MercaBarna
2018-02,SECO ALMENDRAS,FRUTAS FRUTO,4.30,MercaBarna
2018-02,SECO AVELLANAS,FRUTAS FRUTO,3.60,MercaBarna
2018-02,SECO CASTAÑAS,FRUTAS FRUTO,2.00,MercaBarna
2018-02,SECO NUECES,FRUTAS FRUTO,2.85,MercaBarna
2018-02,SETAS SIN DETERMINAR,OTROS SETAS,10.00,MercaBarna
2018-02,TOMATE MADURO,HORTALIZAS FRUTO,0.73,MercaBarna
2018-02,TOMATE VERDE,HORTALIZAS FRUTO,1.38,MercaBarna
2018-02,VARIOS,OTROS OTROS,1.50,MercaBarna
2018-02,VERDURAS OTRAS,HORTALIZAS OTROS,0.70,MercaBarna
2018-02,ZANAHORIA,HORTALIZAS RAIZ,0.40,MercaBarna
2018-03,ACEITUNAS,FRUTAS HUESO,3.80,MercaBarna
2018-03,ACELGAS,HORTALIZAS HOJA,0.55,MercaBarna
2018-03,AGUACATE,FRUTAS EXOTICAS,3.37,MercaBarna
2018-03,AJOS SECOS,HORTALIZAS BULBOS,1.74,MercaBarna
2018-03,AJOS TIERNOS,HORTALIZAS BULBOS,0.57,MercaBarna
2018-03,ALBARICOQUES,FRUTAS HUESO,1.30,MercaBarna
2018-03,ALCACHOFA,HORTALIZAS INFLORESC.,1.18,MercaBarna
2018-03,APIOS,HORTALIZAS HOJA,0.57,MercaBarna
2018-03,BATATA,HORTALIZAS TUBERCULO,0.72,MercaBarna
2018-03,BERENJENA LARGA,HORTALIZAS FRUTO,0.98,MercaBarna
2018-03,BERROS,HORTALIZAS HOJA,0.60,MercaBarna
2018-03,BORRAJA,HORTALIZAS HOJA,1.40,MercaBarna
2018-03,BROCOL,HORTALIZAS INFLORESC.,1.01,MercaBarna
2018-03,BROCULI,HORTALIZAS INFLORESC.,0.78,MercaBarna
2018-03,CALABACIN,HORTALIZAS FRUTO,0.79,MercaBarna
2018-03,CALABAZA,HORTALIZAS FRUTO,0.52,MercaBarna
2018-03,CALÇOTS,HORTALIZAS BULBOS,0.09,MercaBarna
2018-03,CARACOLES,OTROS OTROS,4.16,MercaBarna
2018-03,CARAMBOLA,FRUTAS EXOTICAS,5.34,MercaBarna
2018-03,CARDOS,HORTALIZAS HOJA,0.60,MercaBarna
2018-03,CAÑA DE AZUCAR,OTROS OTROS,1.10,MercaBarna
2018-03,CEBOLLA SECA,HORTALIZAS BULBOS,0.26,MercaBarna
2018-03,CEBOLLA SECA FIGUERAS,HORTALIZAS BULBOS,0.88,MercaBarna
2018-03,CEBOLLA TIERNA,HORTALIZAS BULBOS,0.51,MercaBarna
2018-03,CEREZAS,FRUTAS HUESO,10.07,MercaBarna
2018-03,CHAMPIÑONES,OTROS SETAS,2.00,MercaBarna
2018-03,CHIRIMOIA,FRUTAS EXOTICAS,1.88,MercaBarna
2018-03,CHIRIVIA,HORTALIZAS RAIZ,0.90,MercaBarna
2018-03,CIRUELA,FRUTAS HUESO,1.14,MercaBarna
2018-03,COCOS,FRUTAS EXOTICAS,1.05,MercaBarna
2018-03,COL BRUSELAS,HORTALIZAS HOJA,0.95,MercaBarna
2018-03,COLES,HORTALIZAS HOJA,0.54,MercaBarna
2018-03,COLES CHINA,HORTALIZAS HOJA,0.51,MercaBarna
2018-03,COLES LOMBARDA,HORTALIZAS HOJA,0.85,MercaBarna
2018-03,COLIFLOR,HORTALIZAS INFLORESC.,1.56,MercaBarna
2018-03,DATILES,FRUTAS OTRAS,1.40,MercaBarna
2018-03,ENDIBIAS,HORTALIZAS TALLOS,0.88,MercaBarna
2018-03,ESCAROLA,HORTALIZAS HOJA,0.66,MercaBarna
2018-03,ESPARRAGO BLANCO,HORTALIZAS TALLOS,3.36,MercaBarna
2018-03,ESPARRAGO VERDE,HORTALIZAS TALLOS,1.52,MercaBarna
2018-03,ESPINACAS,HORTALIZAS HOJA,0.56,MercaBarna
2018-03,FRUTAS CAQUIS,FRUTAS OTRAS,1.18,MercaBarna
2018-03,FRUTAS FRAMBUESA,FRUTAS OTRAS,7.66,MercaBarna
2018-03,FRUTAS FRESA,FRUTAS OTRAS,5.60,MercaBarna
2018-03,FRUTAS FRESON,FRUTAS OTRAS,1.83,MercaBarna
2018-03,FRUTAS FRUTAS SIN DETERMINAR,FRUTAS OTRAS,0.90,MercaBarna
2018-03,FRUTAS GRANADAS,FRUTAS OTRAS,1.87,MercaBarna
2018-03,FRUTAS GROSELLA,FRUTAS OTRAS,10.00,MercaBarna
2018-03,FRUTAS HIGO CHUMBO,FRUTAS OTRAS,1.85,MercaBarna
2018-03,FRUTAS HIGOS,FRUTAS OTRAS,2.10,MercaBarna
2018-03,FRUTAS KIWIS,FRUTAS OTRAS,2.16,MercaBarna
2018-03,FRUTAS MELON AMARILLO,FRUTAS OTRAS,1.05,MercaBarna
2018-03,FRUTAS MELON GALIA,FRUTAS OTRAS,0.95,MercaBarna
2018-03,FRUTAS MELON SIN DETERMINAR,FRUTAS OTRAS,1.00,MercaBarna
2018-03,FRUTAS MELON VERDE PIEL DE SAPO,FRUTAS OTRAS,1.09,MercaBarna
2018-03,FRUTAS MORA,FRUTAS OTRAS,7.50,MercaBarna
2018-03,FRUTAS PIÑA TROPICAL,FRUTAS OTRAS,1.06,MercaBarna
2018-03,FRUTAS PLATANOS CANARIOS,FRUTAS OTRAS,1.03,MercaBarna
2018-03,FRUTAS PLATANOS IMPORTACION,FRUTAS OTRAS,0.98,MercaBarna
2018-03,FRUTAS SANDIA CON GRANA,FRUTAS OTRAS,1.19,MercaBarna
2018-03,FRUTAS SANDIA SIN GRANA,FRUTAS OTRAS,1.13,MercaBarna
2018-03,FRUTAS UVA BLANCA,FRUTAS OTRAS,2.03,MercaBarna
2018-03,FRUTAS UVA NEGRA,FRUTAS OTRAS,2.24,MercaBarna
2018-03,GIRGOLAS,OTROS SETAS,1.90,MercaBarna
2018-03,GUISANTE,HORTALIZAS VAINA,2.52,MercaBarna
2018-03,HABAS,HORTALIZAS VAINA,1.51,MercaBarna
2018-03,HINOJO,HORTALIZAS HOJA,0.70,MercaBarna
2018-03,JUDIA BOBI,HORTALIZAS VAINA,2.10,MercaBarna
2018-03,JUDIA FINA,HORTALIZAS VAINA,3.07,MercaBarna
2018-03,JUDIA PERONA,HORTALIZAS VAINA,2.81,MercaBarna
2018-03,JUDIAS SIN DETERMINAR,HORTALIZAS VAINA,2.98,MercaBarna
2018-03,LECHUGA ICEBERG,HORTALIZAS HOJA,0.25,MercaBarna
2018-03,LECHUGA LARGA,HORTALIZAS HOJA,0.31,MercaBarna
2018-03,LECHUGA SIN DETERMINAR,HORTALIZAS HOJA,0.60,MercaBarna
2018-03,LICHIS,FRUTAS EXOTICAS,2.40,MercaBarna
2018-03,LIMA,FRUTAS CITRICOS,1.74,MercaBarna
2018-03,LIMON,FRUTAS CITRICOS,0.89,MercaBarna
2018-03,MAIZ,OTROS OTROS,2.00,MercaBarna
2018-03,MANDARINA CLEMENTINA,FRUTAS CITRICOS,0.65,MercaBarna
2018-03,MANDARINA SATSUMA,FRUTAS CITRICOS,0.80,MercaBarna
2018-03,MANDARINAS SIN DETER.,FRUTAS CITRICOS,1.17,MercaBarna
2018-03,MANGOS,FRUTAS EXOTICAS,3.09,MercaBarna
2018-03,MANZANA AMARILLA GOLDEN,FRUTAS SEMILLA,0.79,MercaBarna
2018-03,MANZANA BICOLOR,FRUTAS SEMILLA,0.93,MercaBarna
2018-03,MANZANA ROJA,FRUTAS SEMILLA,1.16,MercaBarna
2018-03,MANZANA VERDE GRANNY SMITH,FRUTAS SEMILLA,1.16,MercaBarna
2018-03,MANZANAS SIN DETERMINAR,FRUTAS SEMILLA,0.80,MercaBarna
2018-03,MARACUYA,FRUTAS EXOTICAS,5.34,MercaBarna
2018-03,MELOCOTON AMARILLO,FRUTAS HUESO,2.01,MercaBarna
2018-03,MELOCOTONES ROJOS P.AMARILLA,FRUTAS HUESO,2.02,MercaBarna
2018-03,MEMBRILLO,FRUTAS SEMILLA,0.70,MercaBarna
2018-03,NABO,HORTALIZAS RAIZ,0.70,MercaBarna
2018-03,NARANJA,FRUTAS CITRICOS,0.66,MercaBarna
2018-03,NECTARINA PULPA AMARILLA,FRUTAS HUESO,2.06,MercaBarna
2018-03,NECTARINA PULPA BLANCA,FRUTAS HUESO,2.04,MercaBarna
2018-03,NISPERO,FRUTAS SEMILLA,2.19,MercaBarna
2018-03,PAPAYAS,FRUTAS EXOTICAS,2.69,MercaBarna
2018-03,PATATA BLANCA CALIDAD MONA LISA,HORTALIZAS TUBERCULO,0.24,MercaBarna
2018-03,PATATA ROJA,HORTALIZAS TUBERCULO,0.25,MercaBarna
